EuroPheno.stock_id,pheno_date,who,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height
27874,29/05/2014,eey9,0,,,,238,71
27874,29/05/2014,eey9,1,21.6,1.3,True,,
27874,29/05/2014,eey9,2,41.6,1.6,True,,
27874,29/05/2014,eey9,3,52.0,1.6,False,,
27874,03/06/2014,eey9,0,,,,115,80
27874,03/06/2014,eey9,1,21.6,1.3,True,,
27874,03/06/2014,eey9,2,41.6,1.6,True,,
27874,03/06/2014,eey9,3,53.4,1.3,True,,
27874,03/06/2014,eey9,4,33.5,1.6,False,,
27874,11/06/2014,eey9,0,,,,120,97
27874,11/06/2014,eey9,1,21.6,1.3,True,,
27874,11/06/2014,eey9,2,41.6,1.6,True,,
27874,11/06/2014,eey9,3,53.4,1.3,True,,
27874,11/06/2014,eey9,4,56.5,1.8,True,,
27874,11/06/2014,eey9,5,37.9,1.8,False,,
27874,20/06/2014,eey9,0,,,,119,119
27874,20/06/2014,eey9,1,21.6,1.3,True,,
27874,20/06/2014,eey9,2,41.6,1.6,True,,
27874,20/06/2014,eey9,3,53.4,1.3,True,,
27874,20/06/2014,eey9,4,56.5,1.8,True,,
27874,20/06/2014,eey9,5,59.3,1.7,True,,
27874,20/06/2014,eey9,6,48.3,1.7,False,,
27874,20/06/2014,eey9,7,24.3,0.8,False,,
27874,27/06/2014,eey9,0,,,,139,124
27874,27/06/2014,eey9,1,21.6,1.3,True,,
27874,27/06/2014,eey9,2,41.6,1.6,True,,
27874,27/06/2014,eey9,3,53.4,1.3,True,,
27874,27/06/2014,eey9,4,56.5,1.8,True,,
27874,27/06/2014,eey9,5,59.3,1.7,True,,
27874,27/06/2014,eey9,6,57.6,1.8,False,,
27874,27/06/2014,eey9,7,38.5,1.1,False,,
27874,27/06/2014,eey9,8,18.1,0.1,False,,
27874,01/07/2014,eey9,0,,,,147,135
27874,01/07/2014,eey9,1,21.6,1.3,True,,
27874,01/07/2014,eey9,2,41.6,1.6,True,,
27874,01/07/2014,eey9,3,53.4,1.3,True,,
27874,01/07/2014,eey9,4,56.5,1.8,True,,
27874,01/07/2014,eey9,5,59.3,1.7,True,,
27874,01/07/2014,eey9,6,59.0,1.8,False,,
27874,01/07/2014,eey9,7,47.5,1.5,False,,
27874,01/07/2014,eey9,8,19.2,0.4,False,,
27874,09/07/2014,eey9,0,,,,152,135
27874,09/07/2014,eey9,1,21.6,1.3,True,,
27874,09/07/2014,eey9,2,41.6,1.6,True,,
27874,09/07/2014,eey9,3,53.4,1.3,True,,
27874,09/07/2014,eey9,4,56.5,1.8,True,,
27874,09/07/2014,eey9,5,59.3,1.7,True,,
27874,09/07/2014,eey9,6,62.0,1.8,True,,
27874,09/07/2014,eey9,7,57.2,1.6,False,,
27874,09/07/2014,eey9,8,29.3,1.2,False,,
27874,18/07/2014,eey9,0,,,,197,141
27874,18/07/2014,eey9,1,21.6,1.3,True,,
27874,18/07/2014,eey9,2,41.6,1.6,True,,
27874,18/07/2014,eey9,3,53.4,1.3,True,,
27874,18/07/2014,eey9,4,56.5,1.8,True,,
27874,18/07/2014,eey9,5,59.3,1.7,True,,
27874,18/07/2014,eey9,6,62.0,1.8,True,,
27874,18/07/2014,eey9,7,63.4,1.8,True,,
27874,18/07/2014,eey9,8,46.2,1.7,False,,
27874,18/07/2014,eey9,9,24.4,0.3,False,,
27874,23/07/2014,eey9,0,,,,198,150
27874,23/07/2014,eey9,3,53.4,1.3,True,,
27874,23/07/2014,eey9,4,56.5,1.8,True,,
27874,23/07/2014,eey9,5,59.3,1.7,True,,
27874,23/07/2014,eey9,6,62.0,1.8,True,,
27874,23/07/2014,eey9,7,63.4,1.8,True,,
27874,23/07/2014,eey9,8,47.6,1.7,True,,
27874,23/07/2014,eey9,9,34.1,1.2,False,,
27874,01/08/2014,eey9,0,,,,216,146
27874,01/08/2014,eey9,3,53.4,1.3,True,,
27874,01/08/2014,eey9,4,56.5,1.8,True,,
27874,01/08/2014,eey9,5,59.3,1.7,True,,
27874,01/08/2014,eey9,6,62.0,1.8,True,,
27874,01/08/2014,eey9,7,63.4,1.8,True,,
27874,01/08/2014,eey9,8,47.6,1.7,True,,
27874,01/08/2014,eey9,9,36.6,1.7,True,,
27874,01/08/2014,eey9,10,20.2,1.2,True,,
27874,01/08/2014,eey9,11,11.0,0.1,True,,
27874,09/08/2014,eey9,0,,,,194,149
27874,09/08/2014,eey9,3,53.4,1.3,True,,
27874,09/08/2014,eey9,4,56.5,1.8,True,,
27874,09/08/2014,eey9,5,59.3,1.7,True,,
27874,09/08/2014,eey9,6,62.0,1.8,True,,
27874,09/08/2014,eey9,7,63.4,1.8,True,,
27874,09/08/2014,eey9,8,47.6,1.7,True,,
27874,09/08/2014,eey9,9,36.6,1.7,True,,
27874,09/08/2014,eey9,10,20.2,1.2,True,,
27874,09/08/2014,eey9,11,11.0,0.1,True,,
27874,16/08/2014,eey9,0,,,,213,144
27874,16/08/2014,eey9,3,53.4,1.3,True,,
27874,16/08/2014,eey9,4,56.5,1.8,True,,
27874,16/08/2014,eey9,5,59.3,1.7,True,,
27874,16/08/2014,eey9,6,62.0,1.8,True,,
27874,16/08/2014,eey9,7,63.4,1.8,True,,
27874,16/08/2014,eey9,8,47.6,1.7,True,,
27874,16/08/2014,eey9,9,36.6,1.7,True,,
27874,16/08/2014,eey9,10,20.2,1.2,True,,
27874,16/08/2014,eey9,11,11.0,0.1,True,,
27874,21/08/2014,eey9,0,,,,211,141
27874,21/08/2014,eey9,3,53.4,1.3,True,,
27874,21/08/2014,eey9,4,56.5,1.8,True,,
27874,21/08/2014,eey9,5,59.3,1.7,True,,
27874,21/08/2014,eey9,6,62.0,1.8,True,,
27874,21/08/2014,eey9,7,63.4,1.8,True,,
27874,21/08/2014,eey9,8,47.6,1.7,True,,
27874,21/08/2014,eey9,9,36.6,1.7,True,,
27874,21/08/2014,eey9,10,20.2,1.2,True,,
27874,21/08/2014,eey9,11,11.0,0.1,True,,
27874,28/08/2014,eey9,0,,,,207,145
27874,28/08/2014,eey9,3,53.4,1.3,True,,
27874,28/08/2014,eey9,4,56.5,1.8,True,,
27874,28/08/2014,eey9,5,59.3,1.7,True,,
27874,28/08/2014,eey9,6,62.0,1.8,True,,
27874,28/08/2014,eey9,7,63.4,1.8,True,,
27874,28/08/2014,eey9,8,47.6,1.7,True,,
27874,28/08/2014,eey9,9,36.6,1.7,True,,
27874,28/08/2014,eey9,10,20.2,1.2,True,,
27874,28/08/2014,eey9,11,11.0,0.1,True,,
27874,02/09/2014,eey9,0,,,,201,148
27874,02/09/2014,eey9,3,53.4,1.3,True,,
27874,02/09/2014,eey9,4,56.5,1.8,True,,
27874,02/09/2014,eey9,5,59.3,1.7,True,,
27874,02/09/2014,eey9,6,62.0,1.8,True,,
27874,02/09/2014,eey9,7,63.4,1.8,True,,
27874,02/09/2014,eey9,8,47.6,1.7,True,,
27874,02/09/2014,eey9,9,36.6,1.7,True,,
27874,02/09/2014,eey9,10,20.2,1.2,True,,
27874,02/09/2014,eey9,11,11.0,0.1,True,,
27874,12/09/2014,eey9,0,,,,218,148
27874,12/09/2014,eey9,3,53.4,1.3,True,,
27874,12/09/2014,eey9,4,56.5,1.8,True,,
27874,12/09/2014,eey9,5,59.3,1.7,True,,
27874,12/09/2014,eey9,6,62.0,1.8,True,,
27874,12/09/2014,eey9,7,63.4,1.8,True,,
27874,12/09/2014,eey9,8,47.6,1.7,True,,
27874,12/09/2014,eey9,9,36.6,1.7,True,,
27874,12/09/2014,eey9,10,20.2,1.2,True,,
27874,12/09/2014,eey9,11,11.0,0.1,True,,
27874,16/09/2014,eey9,0,,,,218,145
27874,16/09/2014,eey9,3,53.4,1.3,True,,
27874,16/09/2014,eey9,4,56.5,1.8,True,,
27874,16/09/2014,eey9,5,59.3,1.7,True,,
27874,16/09/2014,eey9,6,62.0,1.8,True,,
27874,16/09/2014,eey9,7,63.4,1.8,True,,
27874,16/09/2014,eey9,8,47.6,1.7,True,,
27874,16/09/2014,eey9,9,36.6,1.7,True,,
27874,16/09/2014,eey9,10,20.2,1.2,True,,
27874,16/09/2014,eey9,11,11.0,0.1,True,,
27874,22/10/2014,eey9,0,,,,185,140
27874,03/11/2014,eey9,0,,,,232,136
27829,29/05/2014,eey9,0,,,,116,33
27829,29/05/2014,eey9,1,21.0,0.8,True,,
27829,29/05/2014,eey9,2,28.3,1.0,True,,
27829,29/05/2014,eey9,3,26.0,1.1,False,,
27829,03/06/2014,eey9,0,,,,76,43
27829,03/06/2014,eey9,1,21.0,0.8,True,,
27829,03/06/2014,eey9,2,28.3,1.0,True,,
27829,03/06/2014,eey9,3,31.5,0.9,True,,
27829,03/06/2014,eey9,4,23.5,1.1,False,,
27829,11/06/2014,eey9,0,,,,73,52
27829,11/06/2014,eey9,1,21.0,0.8,True,,
27829,11/06/2014,eey9,2,28.3,1.0,True,,
27829,11/06/2014,eey9,3,31.5,0.9,True,,
27829,11/06/2014,eey9,4,36.7,1.1,False,,
27829,11/06/2014,eey9,5,29.0,1.0,False,,
27829,11/06/2014,eey9,6,18.6,1.1,False,,
27829,20/06/2014,eey9,0,,,,71,71
27829,20/06/2014,eey9,1,21.0,0.8,True,,
27829,20/06/2014,eey9,2,28.3,1.0,True,,
27829,20/06/2014,eey9,3,31.5,0.9,True,,
27829,20/06/2014,eey9,4,36.7,1.1,True,,
27829,20/06/2014,eey9,5,41.5,1.1,True,,
27829,20/06/2014,eey9,6,40.2,2.0,False,,
27829,20/06/2014,eey9,7,18.0,0.7,False,,
27829,27/06/2014,eey9,0,,,,71,80
27829,27/06/2014,eey9,1,21.0,0.8,True,,
27829,27/06/2014,eey9,2,28.3,1.0,True,,
27829,27/06/2014,eey9,3,31.5,0.9,True,,
27829,27/06/2014,eey9,4,36.7,1.1,True,,
27829,27/06/2014,eey9,5,41.5,1.1,True,,
27829,27/06/2014,eey9,6,44.0,0.9,True,,
27829,27/06/2014,eey9,7,30.5,0.9,False,,
27829,27/06/2014,eey9,8,21.3,0.5,False,,
27829,01/07/2014,eey9,0,,,,71,76
27829,01/07/2014,eey9,1,21.0,0.8,True,,
27829,01/07/2014,eey9,2,28.3,1.0,True,,
27829,01/07/2014,eey9,3,31.5,0.9,True,,
27829,01/07/2014,eey9,4,36.7,1.1,True,,
27829,01/07/2014,eey9,5,41.5,1.1,True,,
27829,01/07/2014,eey9,6,44.0,0.9,True,,
27829,01/07/2014,eey9,7,41.8,0.7,False,,
27829,01/07/2014,eey9,8,27.5,0.6,False,,
27829,01/07/2014,eey9,9,13.0,0.1,False,,
27829,09/07/2014,eey9,0,,,,84,80
27829,09/07/2014,eey9,1,21.0,0.8,True,,
27829,09/07/2014,eey9,2,28.3,1.0,True,,
