Created by SunData for Windows Mobile v2.0.0.1																																																																									
																																																																									
Title     :	lai index 2014																																																																								
Location  :	aber15																																																																								
																																																																									
2014-05-30																																																																									
SunScan probe v1.02R (C) JGW 2004/01/19																																																																									
																																																																									
Ext Sensor: BFS																																																																									
Group   1 :																																																																									
																																																																									
Time	Plant	Sample	PAR	Spread	Total	Diffuse			Notes	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	 tip 64
																																																																									
11:45:31	1	1	144.7	0.91	543.4	543.4				233	228	220	213	200	187	172	157	145	130	119	106	93	77	57	41	27	17	10	6	6	5	5	6	8	8	8	7	7	6	8	8	7	10	10	9	23	28	40	41	75	103	127	149	170	187	204	225	240	252	266	276	290	308	326	338	348	358	372	378	383	396	401	406
11:46:08	1	2	141	0.92	549.5	549.5				218	211	203	196	184	170	158	147	138	126	112	99	82	61	51	34	23	14	13	9	6	5	4	4	5	5	4	4	5	6	7	6	8	12	16	33	38	38	46	61	80	102	120	134	150	170	194	217	236	253	268	281	296	314	327	337	345	354	367	372	376	386	393	394
11:50:21	1	3	155.8	0.96	576.9	557.4				274	257	238	223	203	187	174	158	143	127	107	84	73	64	57	40	33	27	22	17	13	10	10	10	7	7	8	10	10	11	11	7	5	6	6	12	12	33	52	62	82	91	101	120	145	178	196	218	240	272	290	307	328	358	383	394	404	405	428	432	437	448	451	454
11:50:37	1	4	149	0.96	579.4	554.4				253	205	146	132	134	122	112	94	77	64	49	54	58	55	44	35	28	27	20	9	5	4	4	7	7	6	8	8	6	8	9	14	25	34	32	28	40	64	91	109	125	138	152	168	186	206	226	246	264	282	299	311	328	347	360	369	379	389	404	409	419	430	437	441
11:52:02	1	5	297.4	0.4	575.1	539.1				451	456	455	459	455	450	446	440	436	426	421	409	401	387	368	357	351	341	331	315	303	291	277	263	253	241	221	217	221	218	207	189	175	157	152	172	192	191	188	185	178	173	156	149	140	138	139	142	147	150	155	189	244	281	316	341	372	398	428	444	458	471	479	481
11:52:22	1	6	220.3	0.63	573.9	540.9				449	449	448	450	442	436	427	420	412	400	389	374	358	332	292	250	221	208	188	183	178	150	146	130	136	121	111	106	102	93	84	74	97	90	88	70	82	97	118	114	103	85	91	97	99	94	75	56	57	78	97	128	163	191	221	244	257	285	307	326	402	429	448	457
11:53:48	1	7	107.4	1.13	580	561.1				210	196	179	153	121	123	113	101	89	72	67	62	53	46	34	25	20	15	15	11	10	10	10	12	12	13	12	11	11	10	11	13	10	10	14	14	19	16	28	17	12	21	33	27	89	115	123	135	152	170	183	149	99	93	223	282	307	327	353	369	389	407	421	429
11:54:34	1	8	106.7	1.02	584.9	573.9				302	293	282	262	210	197	190	169	128	125	130	112	100	88	79	73	55	27	25	23	16	13	13	16	14	9	14	14	13	12	14	14	11	13	15	15	14	14	14	16	17	16	16	30	26	33	49	58	60	79	99	113	127	147	171	196	220	244	278	303	324	346	361	374
11:56:11	1	9	78.6	1.22	586.1	584.9				233	226	218	210	192	176	160	147	133	116	102	86	41	30	28	26	22	15	13	11	10	8	8	4	4	4	4	3	5	4	1	2	1	0	0	1	1	1	1	1	4	7	9	19	24	27	34	41	53	47	38	28	46	113	130	131	133	165	237	253	265	288	334	357
11:56:35	1	10	69.6	1.06	589.1	589.1				227	212	195	180	164	149	133	116	94	79	69	58	45	32	22	19	17	17	14	10	8	4	5	5	5	5	5	4	4	5	5	4	6	5	5	6	8	8	8	8	9	8	14	22	31	35	44	62	77	86	91	100	112	113	127	132	123	109	136	170	141	226	255	272
11:57:27	1	11	128.7	0.99	594	594				305	288	267	249	226	205	185	167	154	138	125	110	98	85	74	64	54	43	33	25	19	15	11	9	6	6	7	6	6	6	5	4	6	7	12	15	16	21	27	15	42	61	76	89	89	95	102	57	27	122	182	200	220	251	280	294	305	311	313	316	371	429	441	451
11:57:47	1	12	104.6	1.09	592.2	592.2				246	236	221	207	190	168	149	123	111	90	88	78	62	40	31	27	20	16	10	11	13	13	13	12	5	6	8	8	8	9	6	6	4	6	6	5	5	15	22	26	26	31	43	51	57	59	72	54	70	125	143	154	153	159	211	246	270	293	321	336	353	371	386	394
11:59:12	1	13	137.6	1.07	587.9	587.9				216	198	186	178	167	154	139	121	105	89	74	52	41	35	30	25	22	13	14	19	23	24	21	19	20	23	22	26	30	24	27	19	22	31	25	19	12	11	25	34	30	42	50	56	64	79	156	185	205	210	254	278	293	299	356	379	393	405	431	443	455	467	471	473
11:59:27	1	14	138.5	0.97	586.1	586.1				207	101	179	178	168	150	137	128	125	111	97	83	73	62	55	49	44	41	38	33	31	34	35	35	35	35	36	34	20	29	32	28	23	25	30	25	28	35	28	51	47	45	50	59	89	108	123	156	178	182	204	268	299	325	344	359	373	387	405	409	420	438	451	455
12:00:19	1	15	123.7	1	584.3	584.3				199	191	180	171	160	150	140	127	115	105	97	89	81	72	62	44	19	11	5	4	3	5	4	3	2	1	2	2	2	3	3	4	4	4	4	6	10	13	20	35	58	39	78	116	132	145	157	172	184	199	213	231	253	276	292	305	319	333	352	362	375	385	394	400
12:00:30	1	16	109.2	1.01	583	583				191	185	174	167	154	126	124	115	93	64	49	37	30	19	12	8	6	4	3	4	3	0	2	2	2	3	2	4	5	7	8	9	9	9	9	10	15	22	37	51	61	75	95	114	131	145	157	168	174	183	192	190	227	249	262	271	281	276	303	311	321	332	344	351
12:01:20	1	17	153	0.96	587.9	587.9				224	212	196	181	163	148	134	122	95	70	74	68	59	39	30	20	17	11	8	8	8	9	9	9	9	9	10	11	15	21	29	44	55	62	65	61	40	46	93	73	111	145	153	148	181	198	203	192	116	248	281	304	325	346	362	370	387	416	440	450	458	466	469	471
12:01:34	1	18	126.8	1.03	590.4	590.4				194	186	175	165	153	140	121	98	81	64	57	51	44	42	36	31	19	15	14	9	8	6	6	8	9	10	10	11	13	12	9	10	10	10	11	14	20	31	41	50	62	77	89	107	130	144	157	174	192	212	232	250	267	289	305	315	331	349	368	380	400	422	433	439
12:02:02	1	19	160.7	1.04	594	594				298	284	266	250	228	202	178	165	154	138	123	100	84	66	45	23	13	9	9	7	5	5	4	3	2	2	2	0	1	1	2	6	8	5	1	2	3	15	15	29	46	69	95	126	149	159	176	198	216	235	310	347	378	408	428	439	448	455	470	472	477	478	478	478
12:02:17	1	20	136	1.1	597.1	597.1				317	301	280	258	232	207	181	156	134	112	68	46	38	51	37	36	29	21	15	16	10	9	6	6	4	2	4	4	5	4	5	5	6	6	6	11	13	15	24	34	41	39	37	30	38	47	92	156	187	207	229	248	268	306	338	360	379	391	411	420	430	441	448	452
12:05:02	1	21	165.9	0.89	623.9	614.2				334	323	312	303	288	271	255	239	225	208	192	176	160	144	132	111	83	58	48	39	33	28	21	16	12	9	8	7	7	3	1	1	5	6	5	8	15	22	24	37	46	45	46	78	113	154	171	190	204	223	241	258	279	306	330	348	365	384	408	423	441	456	467	474
12:05:15	1	22	159.8	1.03	626.4	617.2				265	246	226	207	180	149	103	73	67	65	57	44	35	37	36	31	20	8	5	5	5	6	7	6	4	5	7	6	6	8	8	8	6	15	20	36	40	40	73	92	109	125	143	162	181	203	234	268	288	303	318	336	360	386	405	421	433	443	459	466	474	482	487	490
12:05:46	1	23	259.6	0.7	631.9	625.2				479	475	464	444	437	416	390	358	330	299	272	226	185	154	139	117	96	88	76	58	50	51	57	52	55	56	48	49	48	46	38	54	80	88	38	64	57	90	110	115	198	173	237	279	310	344	366	391	408	434	437	439	335	332	476	491	499	504	519	524	535	544	547	548
12:05:57	1	24	255.2	0.67	638	633.1				451	453	444	439	424	412	396	377	359	338	315	285	254	231	224	207	183	156	147	140	129	112	98	91	78	61	59	64	68	66	52	52	43	39	42	41	49	71	87	102	110	114	147	147	194	204	196	267	252	304	349	348	387	420	447	470	494	515	540	547	553	560	565	564
12:06:35	1	25	77.8	1.08	647.1	647.1				194	186	175	166	154	141	128	114	101	87	74	64	53	42	33	30	29	25	21	13	12	13	12	9	9	13	12	11	9	11	13	12	10	8	8	10	9	8	7	8	10	15	21	26	29	36	33	33	33	54	63	69	97	127	154	174	189	201	220	235	250	273	296	309
12:06:48	1	26	103.8	1.02	649	649				292	279	263	251	231	207	182	152	136	116	104	95	85	73	59	42	36	31	28	22	15	11	10	9	9	9	9	9	11	11	13	12	12	13	13	12	10	12	17	16	15	21	21	30	41	48	69	78	77	80	107	128	135	152	173	201	221	240	259	277	306	332	352	365
12:07:23	1	27	89.7	1.17	648.3	648.3				193	186	176	166	152	139	128	119	107	91	78	64	38	17	24	33	31	25	20	15	13	12	10	9	9	7	7	6	5	2	2	2	2	2	3	4	6	5	10	20	15	15	13	26	26	45	57	68	42	92	113	119	123	129	145	213	241	267	296	316	332	352	370	386
12:07:34	1	28	100.7	1.09	647.1	647.1				252	237	216	203	188	172	158	144	131	116	99	80	60	45	33	32	24	18	15	14	13	9	7	7	8	7	6	6	6	5	4	1	2	2	3	3	2	2	4	5	8	11	17	27	39	49	62	90	98	88	122	156	170	185	209	236	264	282	301	314	327	339	354	362
12:08:15	1	29	105.2	0.95	649	649				259	251	239	231	218	205	193	182	174	164	152	141	130	117	102	76	62	46	32	23	17	14	13	10	9	7	8	6	6	5	5	5	4	5	6	7	8	9	8	9	12	14	10	20	26	30	51	69	83	99	125	139	156	173	187	200	217	233	254	268	282	298	310	320
12:08:27	1	30	140	1.07	656.9	656.9				107	102	95	87	79	63	47	31	28	26	23	15	9	6	4	4	4	3	5	5	6	8	8	8	9	10	10	10	10	9	13	21	30	34	35	36	71	111	123	139	153	166	179	196	209	221	233	250	267	284	299	311	328	350	362	370	383	393	409	415	425	434	441	445
