EuroPheno.stock_id,who,pheno_date,measurement_no,stem_id,time_taken,canopy_height,stem_count,leaf_length_cm,leaf_width_cm,leaf_ligule,field_flowering_score
27844,eey9,16/04/2015,0,1,,15.0,8.0,,,,0
27844,eey9,16/04/2015,1,,,,,8.0,1.2,1,
27844,eey9,16/04/2015,2,,,,,14.3,1.1,1,
27844,eey9,16/04/2015,3,,,,,20.7,1.3,0,
27844,eey9,16/04/2015,4,,,,,10.5,0.7,0,
27850,eey9,16/04/2015,0,1,,20.0,15.0,,,,0
27850,eey9,16/04/2015,1,,,,,4.0,0.5,1,
27850,eey9,16/04/2015,2,,,,,17.0,0.8,1,
27850,eey9,16/04/2015,3,,,,,22.0,0.7,0,
27850,eey9,16/04/2015,4,,,,,7.0,0.3,0,
27874,eey9,16/04/2015,0,1,,16.0,18.0,,,,0
27874,eey9,16/04/2015,1,,,,,9.5,0.8,1,
27874,eey9,16/04/2015,2,,,,,16.0,0.8,0,
27874,eey9,16/04/2015,3,,,,,7.2,0.3,0,
27908,eey9,16/04/2015,0,1,,4.0,9.0,,,,0
27908,eey9,16/04/2015,1,,,,,7.0,0.6,1,
27908,eey9,16/04/2015,2,,,,,9.3,0.6,0,
27908,eey9,16/04/2015,3,,,,,7.0,0.1,0,
27918,eey9,16/04/2015,0,1,,10.0,32.0,,,,0
27918,eey9,16/04/2015,1,,,,,4.0,0.5,1,
27918,eey9,16/04/2015,2,,,,,12.0,0.6,1,
27918,eey9,16/04/2015,3,,,,,9.0,0.7,0,
27958,eey9,16/04/2015,0,1,,13.0,19.0,,,,0
27958,eey9,16/04/2015,1,,,,,7.0,0.9,1,
27958,eey9,16/04/2015,2,,,,,18.0,1.1,0,
27958,eey9,16/04/2015,3,,,,,14.0,1.1,0,
27963,eey9,16/04/2015,0,1,,7.0,2.0,,,,0
27963,eey9,16/04/2015,1,,,,,3.0,0.5,1,
27963,eey9,16/04/2015,2,,,,,7.5,1.0,1,
27963,eey9,16/04/2015,3,,,,,7.0,0.8,0,
27986,eey9,16/04/2015,0,1,,6.0,7.0,,,,0
27986,eey9,16/04/2015,1,,,,,5.3,0.8,1,
27986,eey9,16/04/2015,2,,,,,12.0,1.4,0,
27986,eey9,16/04/2015,3,,,,,10.0,0.7,0,
28035,eey9,16/04/2015,0,1,,11.0,34.0,,,,0
28035,eey9,16/04/2015,1,,,,,7.0,0.8,1,
28035,eey9,16/04/2015,2,,,,,12.1,1.4,0,
28035,eey9,16/04/2015,3,,,,,14.0,1.5,0,
28035,eey9,16/04/2015,4,,,,,10.0,0.5,0,
28040,eey9,16/04/2015,0,1,,9.0,2.0,,,,0
28040,eey9,16/04/2015,1,,,,,7.5,0.9,1,
28040,eey9,16/04/2015,2,,,,,12.0,1.3,0,
28040,eey9,16/04/2015,3,,,,,9.2,0.7,0,
28080,eey9,16/04/2015,0,1,,10.0,4.0,,,,0
28080,eey9,16/04/2015,1,,,,,5.2,1.0,1,
28080,eey9,16/04/2015,2,,,,,13.4,1.5,0,
28080,eey9,16/04/2015,3,,,,,11.6,0.8,0,
28088,eey9,16/04/2015,0,1,,12.0,16.0,,,,0
28088,eey9,16/04/2015,1,,,,,8.0,0.7,0,
28088,eey9,16/04/2015,2,,,,,13.5,0.8,0,
28088,eey9,16/04/2015,3,,,,,11.5,0.7,0,
28092,eey9,16/04/2015,0,1,,11.0,12.0,,,,0
28092,eey9,16/04/2015,1,,,,,9.5,0.5,1,
28092,eey9,16/04/2015,2,,,,,13.1,0.5,0,
28092,eey9,16/04/2015,3,,,,,5.5,0.1,0,
27829,eey9,20/04/2015,0,1,,8.5,26.0,,,,0
27829,eey9,20/04/2015,1,,,,,8.0,2.5,1,
27829,eey9,20/04/2015,2,,,,,12.3,0.7,0,
27829,eey9,20/04/2015,3,,,,,7.1,0.4,0,
27844,eey9,20/04/2015,0,1,,14.0,18.0,,,,0
27844,eey9,20/04/2015,3,,,,,21.8,1.4,1,
27844,eey9,20/04/2015,4,,,,,16.6,1.2,0,
27844,eey9,20/04/2015,5,,,,,6.0,0.3,0,
27850,eey9,20/04/2015,0,1,,19.0,45.0,,,,0
27850,eey9,20/04/2015,3,,,,,27.1,0.7,1,
27850,eey9,20/04/2015,4,,,,,14.1,0.8,0,
27874,eey9,20/04/2015,0,1,,17.0,47.0,,,,0
27874,eey9,20/04/2015,2,,,,,17.9,0.9,1,
27874,eey9,20/04/2015,3,,,,,13.1,1.2,0,
27880,eey9,20/04/2015,0,1,,17.0,23.0,,,,0
27880,eey9,20/04/2015,1,,,,,11.0,1.0,1,
27880,eey9,20/04/2015,2,,,,,15.4,1.2,1,
27880,eey9,20/04/2015,3,,,,,14.0,1.5,0,
27908,eey9,20/04/2015,0,1,,10.0,30.0,,,,0
27908,eey9,20/04/2015,2,,,,,11.0,0.7,1,
27908,eey9,20/04/2015,3,,,,,9.0,0.7,0,
27918,eey9,20/04/2015,0,1,,14.0,43.0,,,,0
27918,eey9,20/04/2015,3,,,,,12.1,0.6,0,
27918,eey9,20/04/2015,4,,,,,9.3,0.5,0,
27958,eey9,20/04/2015,0,1,,15.0,42.0,,,,0
27958,eey9,20/04/2015,2,,,,,20.0,1.2,1,
27958,eey9,20/04/2015,3,,,,,11.2,1.2,0,
27958,eey9,20/04/2015,4,,,,,9.3,0.9,0,
27963,eey9,20/04/2015,0,1,,12.0,23.0,,,,0
27963,eey9,20/04/2015,3,,,,,12.6,1.5,0,
27963,eey9,20/04/2015,4,,,,,6.3,0.8,0,
27986,eey9,20/04/2015,0,1,,13.0,28.0,,,,0
27986,eey9,20/04/2015,2,,,,,14.0,1.4,1,
27986,eey9,20/04/2015,3,,,,,11.5,1.4,0,
27986,eey9,20/04/2015,4,,,,,6.2,0.4,0,
28035,eey9,20/04/2015,0,1,,14.0,52.0,,,,0
28035,eey9,20/04/2015,2,,,,,11.0,1.5,1,
28035,eey9,20/04/2015,3,,,,,17.2,1.5,1,
28035,eey9,20/04/2015,4,,,,,16.5,1.2,0,
28035,eey9,20/04/2015,5,,,,,6.0,0.4,0,
28040,eey9,20/04/2015,0,1,,10.0,12.0,,,,0
28040,eey9,20/04/2015,2,,,,,13.0,1.2,1,
28040,eey9,20/04/2015,3,,,,,7.0,1.2,1,
28040,eey9,20/04/2015,4,,,,,7.5,1.2,0,
28080,eey9,20/04/2015,0,1,,10.0,23.0,,,,0
28080,eey9,20/04/2015,2,,,,,15.5,1.4,1,
28080,eey9,20/04/2015,3,,,,,16.3,1.5,0,
28080,eey9,20/04/2015,4,,,,,5.2,0.5,0,
28088,eey9,20/04/2015,0,1,,14.0,54.0,,,,0
28088,eey9,20/04/2015,1,,,,,9.0,0.6,1,
28088,eey9,20/04/2015,2,,,,,15.8,0.8,1,
28088,eey9,20/04/2015,3,,,,,12.6,1.0,0,
28088,eey9,20/04/2015,4,,,,,8.2,0.5,0,
28092,eey9,20/04/2015,0,1,,10.0,37.0,,,,0
28092,eey9,20/04/2015,2,,,,,9.1,0.6,1,
28092,eey9,20/04/2015,3,,,,,15.5,0.5,1,
28092,eey9,20/04/2015,4,,,,,10.2,0.4,0,
27829,eey9,27/04/2015,0,1,13:51,15.0,60.0,,,,0
27829,eey9,27/04/2015,1,,13:51,,,2.5,0.3,1,
27829,eey9,27/04/2015,2,,13:53,,,10.5,0.8,1,
27829,eey9,27/04/2015,3,,13:53,,,13.0,0.6,0,
27829,eey9,27/04/2015,4,,13:53,,,3.5,0.1,0,
