EuroPheno.stock_id,genotype,pheno_date,pseudo_rep_no,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count,time_taken,who
79081,Mx 3539#40,16/06/2016,16,0.95,211.9,31.7,5,13:53,eey9
79081,Mx 3539#40,16/06/2016,17,1.2,231.2,32.5,5,13:55,eey9
79081,Mx 3539#40,16/06/2016,18,1.9,229.2,34.1,5,14:45,eey9
79081,Mx 3539#40,16/06/2016,19,0.95,307.7,48.1,5,14:45,eey9
79081,Mx 3539#40,16/06/2016,20,1.05,122.9,21.8,5,14:46,eey9
79095,Mx 3539#46,16/06/2016,6,0.55,184.3,33.4,5,15:14,eey9
79095,Mx 3539#46,16/06/2016,7,0.8,94.4,17.9,5,15:15,eey9
79095,Mx 3539#46,16/06/2016,8,1.75,174.2,24.2,5,15:15,eey9
79095,Mx 3539#46,16/06/2016,9,2.55,176.6,25.9,5,15:16,eey9
79095,Mx 3539#46,16/06/2016,10,1.25,195.7,31.5,5,15:16,eey9
81850,Mx 3437#113,16/06/2016,1,0.45,90.6,17.6,5,15:45,eey9
81850,Mx 3437#113,16/06/2016,2,0.2,146,23.3,5,15:45,eey9
81850,Mx 3437#113,16/06/2016,3,0.6,136.5,26.8,5,15:46,eey9
81850,Mx 3437#113,16/06/2016,4,0.55,170.9,36.3,5,15:47,eey9
81850,Mx 3437#113,16/06/2016,5,0.75,111.2,19.9,5,15:47,eey9
81856,Mx 3536#96,16/06/2016,16,1.45,280.5,39.7,5,16:14,eey9
81856,Mx 3536#96,16/06/2016,17,1.15,118.2,19.8,5,16:17,eey9
81856,Mx 3536#96,16/06/2016,18,0.65,106.3,14.1,5,16:19,eey9
81856,Mx 3536#96,16/06/2016,19,2.65,367.2,54.1,5,16:23,eey9
81856,Mx 3536#96,16/06/2016,20,0.95,152.3,23.2,5,16:25,eey9
81862,Mx 3524#115,16/06/2016,21,0.55,139.6,25.7,5,16:31,eey9
81862,Mx 3524#115,16/06/2016,22,0.95,140.7,29.1,5,16:31,eey9
81862,Mx 3524#115,16/06/2016,23,0.55,146.7,25.3,5,16:32,eey9
81862,Mx 3524#115,16/06/2016,24,0.95,227.6,49.8,5,16:32,eey9
81862,Mx 3524#115,16/06/2016,25,0.55,104.1,21.4,5,16:32,eey9
81868,Mx 3542#120,16/06/2016,26,1.25,251.5,36.8,5,17:00,eey9
81868,Mx 3542#120,16/06/2016,27,0.3,105.9,16.8,5,17:02,eey9
81868,Mx 3542#120,16/06/2016,28,0.8,110.4,26.8,5,17:03,eey9
81868,Mx 3542#120,16/06/2016,29,0.45,90.7,22.5,5,17:05,eey9
81868,Mx 3542#120,16/06/2016,30,0.7,100.4,21.2,5,13:58,eey9
79081,Mx 3539#40,06/07/2016,26,1.8,247.9,47.3,5,09:55,eey9
79081,Mx 3539#40,06/07/2016,27,2.55,300.7,62.1,5,10:00,eey9
79081,Mx 3539#40,06/07/2016,28,1.85,284.1,50.6,5,10:03,eey9
79081,Mx 3539#40,06/07/2016,29,1.6,95.8,18.5,5,10:06,eey9
79081,Mx 3539#40,06/07/2016,30,1.8,461.3,101.9,5,10:08,eey9
79095,Mx 3539#46,06/07/2016,1,4.4,253.4,46.5,5,10:20,eey9
79095,Mx 3539#46,06/07/2016,2,1.9,260.2,50.9,5,10:23,eey9
79095,Mx 3539#46,06/07/2016,3,3.1,265.3,53.8,5,10:26,eey9
79095,Mx 3539#46,06/07/2016,4,0.95,143.7,29.2,5,10:29,eey9
79095,Mx 3539#46,06/07/2016,5,3.9,313.2,63.4,5,10:32,eey9
81850,Mx 3437#113,06/07/2016,11,1.1,142.1,29.9,5,10:46,eey9
81850,Mx 3437#113,06/07/2016,12,1.3,180.6,44.3,5,10:49,eey9
81850,Mx 3437#113,06/07/2016,13,,264.7,63.3,,12:47,eey9
81850,Mx 3437#113,06/07/2016,14,,278.8,77.3,,12:46,eey9
81850,Mx 3437#113,06/07/2016,15,,161.3,38.7,,12:47,eey9
81856,Mx 3536#96,06/07/2016,1,,101.9,17.4,,12:47,eey9
81856,Mx 3536#96,06/07/2016,2,1.55,167.4,26.9,2,11:07,eey9
81856,Mx 3536#96,06/07/2016,3,3.75,173.2,26.1,2,11:09,eey9
81856,Mx 3536#96,06/07/2016,4,2,336,57.1,3,11:12,eey9
81856,Mx 3536#96,06/07/2016,5,1.8,237.3,41,3,11:15,eey9
81862,Mx 3524#115,06/07/2016,1,1.45,212.2,47.7,5,11:24,eey9
81862,Mx 3524#115,06/07/2016,2,0.95,156.2,40.4,5,11:26,eey9
81862,Mx 3524#115,06/07/2016,3,0.65,128.4,23.4,5,11:29,eey9
81862,Mx 3524#115,06/07/2016,4,,239.6,55.4,,12:49,eey9
81862,Mx 3524#115,06/07/2016,5,1.45,238.9,47.1,5,11:34,eey9
81868,Mx 3542#120,06/07/2016,21,,139.6,20.5,,12:48,eey9
81868,Mx 3542#120,06/07/2016,22,4.3,283.1,47.8,2,11:50,eey9
81868,Mx 3542#120,06/07/2016,23,1.2,232.2,39,5,11:52,eey9
81868,Mx 3542#120,06/07/2016,24,4.9,261.6,49.1,2,11:55,eey9
81868,Mx 3542#120,06/07/2016,25,1.05,295.9,50.4,5,11:57,eey9
79081,Mx 3539#40,24/08/2016,6,6.55,250,68.7,2,09:52,eey9
79081,Mx 3539#40,24/08/2016,7,4.55,141.1,30.5,2,10:12,eey9
79081,Mx 3539#40,24/08/2016,8,6.65,205.1,50.7,2,10:17,eey9
79081,Mx 3539#40,24/08/2016,9,6.2,207.7,55.0,2,10:22,eey9
79081,Mx 3539#40,24/08/2016,10,2.6,186.3,43.5,3,10:26,eey9
79095,Mx 3539#46,24/08/2016,11,3.5,193.9,61.2,2,10:36,eey9
79095,Mx 3539#46,24/08/2016,12,4.35,134.6,37.1,2,10:40,eey9
79095,Mx 3539#46,24/08/2016,13,2.1,134.1,30.6,3,10:43,eey9
79095,Mx 3539#46,24/08/2016,14,2.4,155.1,41.5,3,10:45,eey9
79095,Mx 3539#46,24/08/2016,15,3.05,252.4,71.7,2,10:48,eey9
81850,Mx 3437#113,24/08/2016,6,2,147.2,43.6,2,10:58,eey9
81850,Mx 3437#113,24/08/2016,7,1.55,199,51.8,3,11:00,eey9
81850,Mx 3437#113,24/08/2016,8,,373.6,91.9,,13:25,eey9
81850,Mx 3437#113,24/08/2016,9,2.45,219.3,60.1,3,11:05,eey9
81850,Mx 3437#113,24/08/2016,10,1.55,169.1,43.8,3,11:08,eey9
81856,Mx 3536#96,24/08/2016,6,4.65,253.8,64.6,2,11:18,eey9
81856,Mx 3536#96,24/08/2016,7,1.15,174.6,30.4,3,11:22,eey9
81856,Mx 3536#96,24/08/2016,8,6.1,288.2,65.9,2,11:25,eey9
81856,Mx 3536#96,24/08/2016,9,4.75,232.4,57.5,2,11:28,eey9
81856,Mx 3536#96,24/08/2016,10,5.15,292,70.2,2,11:37,eey9
81862,Mx 3524#115,24/08/2016,11,1.55,84.7,17.0,2,11:48,eey9
81862,Mx 3524#115,24/08/2016,12,2.85,121.9,38.6,2,11:50,eey9
81862,Mx 3524#115,24/08/2016,13,3.8,185.1,50.0,2,11:53,eey9
81862,Mx 3524#115,24/08/2016,14,2.5,105.5,33.1,2,11:56,eey9
81862,Mx 3524#115,24/08/2016,15,1.65,120.9,31.3,2,11:58,eey9
81868,Mx 3542#120,24/08/2016,31,1.05,169.6,43.4,3,12:13,eey9
81868,Mx 3542#120,24/08/2016,32,6.65,291.7,72.5,2,12:16,eey9
81868,Mx 3542#120,24/08/2016,33,,105.9,24.9,,13:21,eey9
81868,Mx 3542#120,24/08/2016,34,6,319.7,79.1,2,12:20,eey9
81868,Mx 3542#120,24/08/2016,35,6.9,404.8,96.3,2,12:24,eey9
79081,Mx 3539#40,20/09/2016,31,5.75,354,112.8,2,11:00,eey9
79081,Mx 3539#40,20/09/2016,32,5.45,260.2,82.7,2,11:08,eey9
79081,Mx 3539#40,20/09/2016,33,7.25,211.4,65.5,2,11:12,eey9
79081,Mx 3539#40,20/09/2016,34,4.65,189.9,58.7,2,11:15,eey9
79081,Mx 3539#40,20/09/2016,35,4.7,181.7,58.4,2,11:18,eey9
79095,Mx 3539#46,20/09/2016,31,5.8,161.9,47.9,2,11:30,eey9
79095,Mx 3539#46,20/09/2016,32,3.2,248.3,71.5,3,11:33,eey9
79095,Mx 3539#46,20/09/2016,33,3.75,200.2,62.3,2,11:35,eey9
79095,Mx 3539#46,20/09/2016,34,5.8,177,53.1,2,11:38,eey9
79095,Mx 3539#46,20/09/2016,35,4.65,197.1,51.7,2,11:41,eey9
81850,Mx 3437#113,20/09/2016,16,3.6,92.9,24.9,3,11:50,eey9
81850,Mx 3437#113,20/09/2016,17,1.25,242.4,55.8,5,11:52,eey9
81850,Mx 3437#113,20/09/2016,18,2.55,237.4,59.9,3,11:55,eey9
81850,Mx 3437#113,20/09/2016,19,2.85,102.9,19.5,2,11:58,eey9
81850,Mx 3437#113,20/09/2016,20,0.95,218.7,52.8,5,12:00,eey9
81856,Mx 3536#96,20/09/2016,21,3.3,444.4,122.9,2,12:15,eey9
81856,Mx 3536#96,20/09/2016,22,5.45,419.2,111.7,2,12:19,eey9
81856,Mx 3536#96,20/09/2016,23,16.65,464.3,145.6,2,12:26,eey9
81856,Mx 3536#96,20/09/2016,24,5.35,472.8,117.5,2,12:29,eey9
81856,Mx 3536#96,20/09/2016,25,2.45,274.3,64.3,2,12:33,eey9
81862,Mx 3524#115,20/09/2016,36,7.25,204.4,56.1,2,12:46,eey9
81862,Mx 3524#115,20/09/2016,37,5.55,208.8,57.8,2,12:50,eey9
81862,Mx 3524#115,20/09/2016,38,5.75,167.3,45.9,2,12:53,eey9
81862,Mx 3524#115,20/09/2016,39,4.45,194.3,60.4,2,12:56,eey9
81862,Mx 3524#115,20/09/2016,40,5.05,112.4,22,2,13:00,eey9
81868,Mx 3542#120,20/09/2016,1,2.8,320.2,116.9,3,13:08,eey9
81868,Mx 3542#120,20/09/2016,2,3.65,85.9,28,2,13:11,eey9
81868,Mx 3542#120,20/09/2016,3,1.15,84.8,23.5,3,13:15,eey9
81868,Mx 3542#120,20/09/2016,4,3.35,197.6,61.7,2,13:17,eey9
81868,Mx 3542#120,20/09/2016,5,5.65,317.5,110.7,2,13:20,eey9
79081,Mx 3539#40,18/10/2016,1,5.65,166.5,60.38,2,10:48,eey9
79081,Mx 3539#40,18/10/2016,2,7.45,226.9,66.77,2,10:52,eey9
79081,Mx 3539#40,18/10/2016,3,4.45,226.1,76.21,2,10:57,eey9
79081,Mx 3539#40,18/10/2016,4,3.8,352.8,112.67,2,11:00,eey9
79081,Mx 3539#40,18/10/2016,5,4.1,222.9,78.76,2,11:05,eey9
79095,Mx 3539#46,18/10/2016,26,3.15,270.1,94.66,3,11:17,eey9
79095,Mx 3539#46,18/10/2016,27,6.15,155.5,52.61,2,11:21,eey9
79095,Mx 3539#46,18/10/2016,28,2.1,136.2,39.47,2,11:25,eey9
79095,Mx 3539#46,18/10/2016,29,7.25,176.6,61.5,2,11:28,eey9
79095,Mx 3539#46,18/10/2016,30,4.45,164.3,55.23,2,11:32,eey9
81850,Mx 3437#113,18/10/2016,21,5.75,121.4,33.61,2,11:43,eey9
81850,Mx 3437#113,18/10/2016,22,3.05,103.5,30.8,2,11:46,eey9
81850,Mx 3437#113,18/10/2016,23,5.35,155.1,44.98,2,11:49,eey9
81850,Mx 3437#113,18/10/2016,24,4.25,124.9,34.43,2,11:53,eey9
81850,Mx 3437#113,18/10/2016,25,2.15,157.3,43.77,2,11:56,eey9
81856,Mx 3536#96,18/10/2016,11,5.65,304.1,92.83,2,12:08,eey9
81856,Mx 3536#96,18/10/2016,12,8.35,504,147.69,2,12:12,eey9
81856,Mx 3536#96,18/10/2016,13,3.35,380,110.08,2,12:16,eey9
81856,Mx 3536#96,18/10/2016,14,5.65,565.1,160.46,2,12:19,eey9
81856,Mx 3536#96,18/10/2016,15,8,409,107.38,2,12:24,eey9
81862,Mx 3524#115,18/10/2016,6,3.9,280.8,84.93,3,12:33,eey9
81862,Mx 3524#115,18/10/2016,7,3.1,312.5,88.05,3,12:40,eey9
81862,Mx 3524#115,18/10/2016,8,3.25,148.2,41.4,2,12:42,eey9
81862,Mx 3524#115,18/10/2016,9,3.7,170.8,53.58,2,12:45,eey9
81862,Mx 3524#115,18/10/2016,10,7.9,205.7,62.54,2,12:48,eey9
81868,Mx 3542#120,18/10/2016,6,2.25,62.7,15.9,2,12:58,eey9
81868,Mx 3542#120,18/10/2016,7,4.4,232.3,68.81,2,13:01,eey9
81868,Mx 3542#120,18/10/2016,8,6.55,133.3,37.22,2,13:03,eey9
81868,Mx 3542#120,18/10/2016,9,2.95,302.2,91.66,2,13:06,eey9
81868,Mx 3542#120,18/10/2016,10,1.4,67.3,23.11,2,13:10,eey9
