EuroPheno.stock_id,genotype,pheno_date,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,canopy_height,stem_count,base_diameter_1,base_diameter_2,stem_diam_half_height,field_flowering_score,time_taken,who,tallest_stem
79081,Mx 3539#40,15/06/2016,16,0,,,110,24,19,24,8,0,13:14,eey9,
79081,Mx 3539#40,15/06/2016,16,1,21,1.3,,,,,,,13:14,eey9,
79081,Mx 3539#40,15/06/2016,16,2,32,1.6,,,,,,,13:18,eey9,
79081,Mx 3539#40,15/06/2016,16,3,51.4,1.6,,,,,,,13:19,eey9,
79081,Mx 3539#40,15/06/2016,16,4,64.5,1.7,,,,,,,13:19,eey9,
79081,Mx 3539#40,15/06/2016,16,5,55,2,,,,,,,13:19,eey9,
79081,Mx 3539#40,15/06/2016,16,6,38,1.6,,,,,,,13:20,eey9,
79081,Mx 3539#40,15/06/2016,17,0,,,107,23,20,24,7,0,13:20,eey9,
79081,Mx 3539#40,15/06/2016,17,1,16,1,,,,,,,13:22,eey9,
79081,Mx 3539#40,15/06/2016,17,2,22,1.3,,,,,,,13:22,eey9,
79081,Mx 3539#40,15/06/2016,17,3,36,1.3,,,,,,,13:23,eey9,
79081,Mx 3539#40,15/06/2016,17,4,48.5,1.6,,,,,,,13:23,eey9,
79081,Mx 3539#40,15/06/2016,17,5,66,1.6,,,,,,,13:24,eey9,
79081,Mx 3539#40,15/06/2016,17,6,60.9,1.9,,,,,,,13:24,eey9,
79081,Mx 3539#40,15/06/2016,17,7,39,1.5,,,,,,,13:25,eey9,
79081,Mx 3539#40,15/06/2016,18,0,,,118,37,18,24,7,0,13:25,eey9,
79081,Mx 3539#40,15/06/2016,18,1,11.6,1.2,,,,,,,13:26,eey9,
79081,Mx 3539#40,15/06/2016,18,2,25,1.3,,,,,,,13:27,eey9,
79081,Mx 3539#40,15/06/2016,18,3,47.8,1.8,,,,,,,13:27,eey9,
79081,Mx 3539#40,15/06/2016,18,4,59,1.8,,,,,,,13:28,eey9,
79081,Mx 3539#40,15/06/2016,18,5,72.5,2.1,,,,,,,13:28,eey9,
79081,Mx 3539#40,15/06/2016,18,6,70,2.4,,,,,,,13:29,eey9,
79081,Mx 3539#40,15/06/2016,18,7,51.5,2.3,,,,,,,13:29,eey9,
79081,Mx 3539#40,15/06/2016,18,8,21,0.5,,,,,,,13:30,eey9,
79081,Mx 3539#40,15/06/2016,19,0,,,114,17,17,18,9,0,13:30,eey9,
79081,Mx 3539#40,15/06/2016,19,1,27,2,,,,,,,13:32,eey9,
79081,Mx 3539#40,15/06/2016,19,2,46.2,2.2,,,,,,,13:32,eey9,
79081,Mx 3539#40,15/06/2016,19,3,47.3,2.2,,,,,,,13:33,eey9,
79081,Mx 3539#40,15/06/2016,19,4,76.5,2.4,,,,,,,13:33,eey9,
79081,Mx 3539#40,15/06/2016,19,5,61.2,2.5,,,,,,,13:34,eey9,
79081,Mx 3539#40,15/06/2016,19,6,41,0.7,,,,,,,13:34,eey9,
79081,Mx 3539#40,15/06/2016,20,0,,,88,26,18,23,6,0,13:35,eey9,
79081,Mx 3539#40,15/06/2016,20,1,8.7,1.4,,,,,,,13:36,eey9,
79081,Mx 3539#40,15/06/2016,20,2,23,2,,,,,,,13:36,eey9,
79081,Mx 3539#40,15/06/2016,20,3,46,2.5,,,,,,,13:37,eey9,
79081,Mx 3539#40,15/06/2016,20,4,58,2.2,,,,,,,13:37,eey9,
79081,Mx 3539#40,15/06/2016,20,5,59.5,2.2,,,,,,,13:37,eey9,
79081,Mx 3539#40,15/06/2016,20,6,43.5,2.2,,,,,,,13:38,eey9,
79081,Mx 3539#40,15/06/2016,20,7,18,0.3,,,,,,,13:38,eey9,
79095,Mx 3539#46,15/06/2016,6,0,,,86,13,12,16,8,0,13:40,eey9,
79095,Mx 3539#46,15/06/2016,6,1,9.1,0.7,,,,,,,13:41,eey9,
79095,Mx 3539#46,15/06/2016,6,2,12,2.1,,,,,,,13:42,eey9,
79095,Mx 3539#46,15/06/2016,6,3,30,1.9,,,,,,,13:42,eey9,
79095,Mx 3539#46,15/06/2016,6,4,53,2.1,,,,,,,13:43,eey9,
79095,Mx 3539#46,15/06/2016,6,5,47.5,1.9,,,,,,,13:43,eey9,
79095,Mx 3539#46,15/06/2016,6,6,32,1,,,,,,,13:43,eey9,
79095,Mx 3539#46,15/06/2016,7,0,,,89,26,17,15,8,0,13:44,eey9,
79095,Mx 3539#46,15/06/2016,7,1,7.5,0.5,,,,,,,13:45,eey9,
79095,Mx 3539#46,15/06/2016,7,2,23.5,0.5,,,,,,,13:45,eey9,
79095,Mx 3539#46,15/06/2016,7,3,40,1.8,,,,,,,13:46,eey9,
79095,Mx 3539#46,15/06/2016,7,4,52,1.8,,,,,,,13:46,eey9,
79095,Mx 3539#46,15/06/2016,7,5,62.5,2,,,,,,,13:47,eey9,
79095,Mx 3539#46,15/06/2016,7,6,66,1.8,,,,,,,13:47,eey9,
