EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,stem_count,leaf_ligule,stem_id,leaf_length_cm,leaf_width_cm
351,27/05/2015,08:20,eey9,,42.0,25,0,2,,
351,27/05/2015,08:20,eey9,1,,,1,,,
351,27/05/2015,08:21,eey9,2,,,1,,,
351,27/05/2015,08:21,eey9,3,,,1,,37.0,1.6
351,27/05/2015,08:21,eey9,4,,,0,,32.6,1.3
352,27/05/2015,08:21,eey9,,36.0,37,0,1,,
352,27/05/2015,08:21,eey9,1,,,1,,,
352,27/05/2015,08:21,eey9,2,,,1,,,
352,27/05/2015,08:21,eey9,3,,,1,,22.5,1.6
352,27/05/2015,08:22,eey9,4,,,1,,30.4,1.9
353,27/05/2015,08:22,eey9,,51.0,30,0,2,,
353,27/05/2015,08:22,eey9,1,,,1,,32.0,1.5
353,27/05/2015,08:22,eey9,2,,,1,,20.4,0.9
353,27/05/2015,08:22,eey9,3,,,1,,23.3,1.4
361,27/05/2015,08:23,eey9,,43.0,11,0,1,,
361,27/05/2015,08:23,eey9,1,,,1,,,
361,27/05/2015,08:23,eey9,2,,,1,,14.2,1.5
361,27/05/2015,08:23,eey9,3,,,1,,35.6,2.0
362,27/05/2015,08:23,eey9,,42.0,16,0,2,,
362,27/05/2015,08:23,eey9,1,,,1,,,
362,27/05/2015,08:23,eey9,2,,,1,,,
362,27/05/2015,08:24,eey9,3,,,1,,29.8,2.6
362,27/05/2015,08:24,eey9,4,,,1,,41.0,2.6
363,27/05/2015,08:24,eey9,,38.0,10,0,1,,
363,27/05/2015,08:24,eey9,1,,,1,,,
363,27/05/2015,08:24,eey9,2,,,1,,,
363,27/05/2015,08:24,eey9,3,,,1,,30.5,2.8
363,27/05/2015,08:24,eey9,4,,,1,,32.0,3.0
391,27/05/2015,08:25,eey9,,62.0,14,0,2,,
391,27/05/2015,08:25,eey9,1,,,1,,,
391,27/05/2015,08:25,eey9,2,,,1,,,
391,27/05/2015,08:25,eey9,3,,,1,,34.5,1.8
391,27/05/2015,08:25,eey9,4,,,0,,50.0,2.0
391,27/05/2015,08:25,eey9,5,,,0,,44.0,1.5
392,27/05/2015,08:25,eey9,,54.0,17,0,1,,
392,27/05/2015,08:26,eey9,1,,,1,,,
392,27/05/2015,08:26,eey9,2,,,1,,,
392,27/05/2015,08:26,eey9,3,,,1,,,
392,27/05/2015,08:26,eey9,4,,,1,,,
392,27/05/2015,08:26,eey9,5,,,1,,48.5,2.2
