EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,fresh_weight_plant,fresh_weight_sub_sample,field_flowering_score
27844,08/07/2015,12:08,eey9,,124.0,0,178,,,,,
27844,08/07/2015,12:11,eey9,1,,0,,,,,,
27844,08/07/2015,12:11,eey9,2,,0,,,,,,
27844,08/07/2015,12:11,eey9,3,,0,,,,,,
27844,08/07/2015,12:11,eey9,4,,0,,,,,,
27844,08/07/2015,12:11,eey9,5,,0,,,,,,
27844,08/07/2015,12:11,eey9,6,,0,,,,,,
27844,08/07/2015,12:11,eey9,7,,0,,77.6,1.5,,,
27844,08/07/2015,12:11,eey9,8,,0,,73.5,1.2,,,
27844,08/07/2015,12:12,eey9,9,,0,,53.7,1.5,,,
27844,08/07/2015,12:13,eey9,10,,0,,16.5,0.3,,,
27880,08/07/2015,12:13,eey9,,118.0,0,98,,,,,
27880,08/07/2015,12:15,eey9,1,,0,,,,,,
27880,08/07/2015,12:16,eey9,2,,0,,,,,,
27880,08/07/2015,12:16,eey9,3,,0,,,,,,
27880,08/07/2015,12:16,eey9,4,,0,,,,,,
27880,08/07/2015,12:16,eey9,5,,0,,,,,,
27880,08/07/2015,12:16,eey9,6,,0,,,,,,
27880,08/07/2015,12:16,eey9,7,,1,,67.0,1.8,,,
27880,08/07/2015,12:16,eey9,8,,0,,51.8,2.0,,,
27880,08/07/2015,12:17,eey9,9,,0,,27.1,0.7,,,
27874,08/07/2015,12:18,eey9,,130.0,0,146,,,,,
27874,08/07/2015,12:20,eey9,1,,0,,,,,,
27874,08/07/2015,12:20,eey9,2,,0,,,,,,
27874,08/07/2015,12:20,eey9,3,,0,,,,,,
27874,08/07/2015,12:20,eey9,4,,0,,,,,,
27874,08/07/2015,12:20,eey9,5,,0,,,,,,
27874,08/07/2015,12:20,eey9,6,,1,,66.6,1.5,,,
27874,08/07/2015,12:20,eey9,7,,0,,66.4,1.6,,,
27874,08/07/2015,12:21,eey9,8,,0,,41.9,1.5,,,
27874,08/07/2015,12:21,eey9,9,,0,,6.7,0.1,,,
27829,08/07/2015,12:22,eey9,,88.0,0,104,,,,,
27829,08/07/2015,12:24,eey9,1,,0,,,,,,
27829,08/07/2015,12:25,eey9,2,,0,,,,,,
27829,08/07/2015,12:25,eey9,3,,0,,,,,,
