EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,fresh_weight_plant,fresh_weight_sub_sample,canopy_height,stem_count,leaf_ligule,field_flowering_score,leaf_length_cm,leaf_width_cm
355,20/08/2015,09:08,eey9,,2.76,543.6,,,,,,
445,20/08/2015,09:20,eey9,,4.28,860.2,,,,,,
535,20/08/2015,09:20,eey9,,2.58,629.9,,,,,,
615,20/08/2015,09:28,eey9,,3.36,377.8,,,,,,
585,20/08/2015,09:35,eey9,,6.68,571.3,,,,,,
575,20/08/2015,09:36,eey9,,3.02,660.8,,,,,,
565,20/08/2015,09:39,eey9,,3.28,598.8,,,,,,
485,20/08/2015,09:43,eey9,,4.28,462.0,,,,,,
405,20/08/2015,09:47,eey9,,4.52,843.7,,,,,,
395,20/08/2015,09:52,eey9,,3.2,581.9,,,,,,
425,20/08/2015,10:03,eey9,,5.1,791.1,,,,,,
465,20/08/2015,10:06,eey9,,2.36,470.4,,,,,,
515,20/08/2015,10:13,eey9,,3.86,575.7,,,,,,
504,20/08/2015,10:17,eey9,,5.36,682.0,,,,,,
11,21/08/2015,13:14,eey9,,,,171.0,79,0,3,,
11,21/08/2015,13:16,eey9,1,,,,,0,,,
11,21/08/2015,13:18,eey9,2,,,,,0,,,
11,21/08/2015,13:18,eey9,3,,,,,0,,,
11,21/08/2015,13:18,eey9,4,,,,,0,,,
11,21/08/2015,13:18,eey9,5,,,,,0,,,
11,21/08/2015,13:18,eey9,6,,,,,0,,,
11,21/08/2015,13:18,eey9,7,,,,,0,,,
11,21/08/2015,13:18,eey9,8,,,,,0,,,
11,21/08/2015,13:18,eey9,9,,,,,1,,85.0,2.0
11,21/08/2015,13:18,eey9,10,,,,,1,,77.0,1.7
11,21/08/2015,13:18,eey9,11,,,,,0,,33.0,0.6
12,21/08/2015,13:21,eey9,,,,169.0,70,0,3,,
12,21/08/2015,13:21,eey9,1,,,,,0,,,
12,21/08/2015,13:21,eey9,2,,,,,0,,,
12,21/08/2015,13:21,eey9,3,,,,,0,,,
12,21/08/2015,13:21,eey9,4,,,,,0,,,
12,21/08/2015,13:21,eey9,5,,,,,0,,,
12,21/08/2015,13:21,eey9,6,,,,,0,,,
12,21/08/2015,13:21,eey9,7,,,,,1,,76.0,2.2
12,21/08/2015,13:25,eey9,8,,,,,1,,80.0,2.4
13,21/08/2015,13:26,eey9,,,,167.0,65,0,3,,
13,21/08/2015,13:27,eey9,1,,,,,0,,,
13,21/08/2015,13:27,eey9,2,,,,,0,,,
13,21/08/2015,13:27,eey9,3,,,,,0,,,
13,21/08/2015,13:27,eey9,4,,,,,0,,,
13,21/08/2015,13:27,eey9,5,,,,,0,,,
13,21/08/2015,13:28,eey9,6,,,,,0,,,
13,21/08/2015,13:28,eey9,7,,,,,0,,,
13,21/08/2015,13:28,eey9,8,,,,,0,,,
13,21/08/2015,13:28,eey9,9,,,,,1,,86.0,2.2
13,21/08/2015,13:28,eey9,10,,,,,1,,70.0,2.0
13,21/08/2015,13:29,eey9,11,,,,,1,,36.0,0.6
21,21/08/2015,13:29,eey9,,,,241.0,35,0,,,
21,21/08/2015,13:31,eey9,1,,,,,0,,,
21,21/08/2015,13:31,eey9,2,,,,,0,,,
21,21/08/2015,13:31,eey9,3,,,,,0,,,
21,21/08/2015,13:31,eey9,4,,,,,0,,,
21,21/08/2015,13:31,eey9,5,,,,,0,,,
21,21/08/2015,13:31,eey9,6,,,,,0,,,
21,21/08/2015,13:32,eey9,7,,,,,0,,,
21,21/08/2015,13:32,eey9,8,,,,,0,,,
21,21/08/2015,13:32,eey9,9,,,,,1,,87.0,2.8
21,21/08/2015,13:32,eey9,10,,,,,1,,92.0,2.8
21,21/08/2015,13:32,eey9,11,,,,,0,,89.0,2.9
21,21/08/2015,13:34,eey9,12,,,,,0,,69.0,2.7
21,21/08/2015,13:34,eey9,13,,,,,0,,34.0,1.2
22,21/08/2015,13:35,eey9,,,,233.0,31,0,,,
22,21/08/2015,13:36,eey9,1,,,,,0,,,
22,21/08/2015,13:37,eey9,2,,,,,0,,,
22,21/08/2015,13:37,eey9,3,,,,,0,,0.0,0.0
22,21/08/2015,13:37,eey9,4,,,,,0,,,
22,21/08/2015,13:38,eey9,5,,,,,0,,,
22,21/08/2015,13:38,eey9,6,,,,,0,,,
22,21/08/2015,13:38,eey9,7,,,,,0,,,
22,21/08/2015,13:38,eey9,8,,,,,0,,,
22,21/08/2015,13:38,eey9,9,,,,,0,,,
22,21/08/2015,13:38,eey9,10,,,,,0,,,
22,21/08/2015,13:38,eey9,11,,,,,1,,85.0,2.9
22,21/08/2015,13:38,eey9,12,,,,,1,,83.0,2.8
22,21/08/2015,13:39,eey9,13,,,,,0,,69.0,2.5
22,21/08/2015,13:40,eey9,14,,,,,0,,45.0,1.0
23,21/08/2015,13:40,eey9,,,,235.0,25,0,,,
23,21/08/2015,13:41,eey9,1,,,,,0,,,
23,21/08/2015,13:41,eey9,2,,,,,0,,0.0,0.0
23,21/08/2015,13:45,eey9,10,,,,,1,,92.0,2.6
23,21/08/2015,13:45,eey9,11,,,,,0,,86.0,2.7
23,21/08/2015,13:45,eey9,12,,,,,0,,52.0,2.8
23,21/08/2015,13:46,eey9,13,,,,,0,,28.0,0.5
31,21/08/2015,13:46,eey9,,,,159.0,58,0,2,,
31,21/08/2015,13:48,eey9,1,,,,,0,,,
31,21/08/2015,13:49,eey9,2,,,,,0,,,
31,21/08/2015,13:49,eey9,3,,,,,0,,,
31,21/08/2015,13:49,eey9,4,,,,,0,,,
31,21/08/2015,13:49,eey9,5,,,,,0,,,
31,21/08/2015,13:49,eey9,6,,,,,0,,,
31,21/08/2015,13:49,eey9,7,,,,,0,,,
31,21/08/2015,13:49,eey9,8,,,,,0,,,
