EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,fresh_weight_plant,fresh_weight_sub_sample,field_flowering_score,stem_id
27844,08/07/2015,12:08,eey9,,136.0,0,266,,,,,,
27844,08/07/2015,12:11,eey9,1,,0,,,,,,,
27844,08/07/2015,12:11,eey9,2,,0,,,,,,,
27844,08/07/2015,12:11,eey9,3,,0,,,,,,,
27844,08/07/2015,12:11,eey9,4,,0,,,,,,,
27844,08/07/2015,12:11,eey9,5,,0,,,,,,,
27844,08/07/2015,12:11,eey9,6,,0,,,,,,,
27844,08/07/2015,12:11,eey9,7,,1,,80.5,1.6,,,,
27844,08/07/2015,12:11,eey9,8,,1,,73.2,1.4,,,,
27844,08/07/2015,12:12,eey9,9,,1,,73.6,1.6,,,,
27844,08/07/2015,12:13,eey9,10,,0,,48.4,1.7,,,,
27880,08/07/2015,12:13,eey9,,131.0,0,168,,,,,,
27880,08/07/2015,12:15,eey9,1,,0,,,,,,,
27880,08/07/2015,12:16,eey9,2,,0,,,,,,,
27880,08/07/2015,12:16,eey9,3,,0,,,,,,,
27880,08/07/2015,12:16,eey9,4,,0,,,,,,,
27880,08/07/2015,12:16,eey9,5,,0,,,,,,,
27880,08/07/2015,12:16,eey9,6,,0,,,,,,,
27880,08/07/2015,12:16,eey9,7,,1,,67.0,1.8,,,,
27880,08/07/2015,12:16,eey9,8,,1,,63.5,2.0,,,,
27880,08/07/2015,12:17,eey9,9,,0,,56.6,2.0,,,,
27874,08/07/2015,12:18,eey9,,138.0,0,250,,,,,,
27874,08/07/2015,12:20,eey9,1,,0,,,,,,,
27874,08/07/2015,12:20,eey9,2,,0,,,,,,,
27874,08/07/2015,12:20,eey9,3,,0,,,,,,,
27874,08/07/2015,12:20,eey9,4,,0,,,,,,,
27874,08/07/2015,12:20,eey9,5,,0,,,,,,,
27874,08/07/2015,12:20,eey9,6,,1,,66.6,1.5,,,,
27874,08/07/2015,12:20,eey9,7,,1,,70.0,1.6,,,,
27874,08/07/2015,12:21,eey9,8,,0,,63.0,1.8,,,,
27874,08/07/2015,12:21,eey9,9,,0,,33.8,1.2,,,,
27829,08/07/2015,12:22,eey9,,99.0,0,152,,,,,,
27829,08/07/2015,12:24,eey9,1,,0,,,,,,,
27829,08/07/2015,12:25,eey9,2,,0,,,,,,,
27829,08/07/2015,12:25,eey9,3,,0,,,,,,,
27829,08/07/2015,12:25,eey9,4,,0,,,,,,,
27829,08/07/2015,12:25,eey9,5,,0,,,,,,,
27829,08/07/2015,12:25,eey9,6,,1,,44.9,0.7,,,,
27829,08/07/2015,12:25,eey9,7,,1,,47.0,0.7,,,,
27829,08/07/2015,12:26,eey9,8,,0,,47.5,0.8,,,,
27850,08/07/2015,12:28,eey9,,159.0,0,314,,,,,,
27850,08/07/2015,12:30,eey9,1,,0,,,,,,,
27850,08/07/2015,12:31,eey9,2,,0,,,,,,,
27850,08/07/2015,12:31,eey9,3,,0,,,,,,,
27850,08/07/2015,12:31,eey9,4,,0,,,,,,,
27850,08/07/2015,12:31,eey9,5,,0,,,,,,,
27850,08/07/2015,12:31,eey9,6,,0,,,,,,,
27850,08/07/2015,12:31,eey9,7,,1,,73.6,1.2,,,,
27850,08/07/2015,12:31,eey9,8,,1,,75.0,1.2,,,,
27850,08/07/2015,12:32,eey9,9,,1,,68.0,1.2,,,,
27850,08/07/2015,12:32,eey9,10,,0,,42.8,1.0,,,,
27958,08/07/2015,12:34,eey9,,123.0,0,248,,,,,,
27958,08/07/2015,12:36,eey9,1,,0,,,,,,,
27958,08/07/2015,12:36,eey9,2,,0,,,,,,,
27958,08/07/2015,12:37,eey9,3,,0,,,,,,,
27958,08/07/2015,12:37,eey9,4,,0,,,,,,,
27958,08/07/2015,12:37,eey9,5,,1,,64.0,1.5,,,,
27958,08/07/2015,12:37,eey9,6,,1,,68.3,1.4,,,,
27958,08/07/2015,12:38,eey9,7,,0,,67.0,1.5,,,,
27958,08/07/2015,12:39,eey9,8,,0,,39.0,1.5,,,,
27908,08/07/2015,12:39,eey9,,111.0,0,192,,,,,,
27908,08/07/2015,12:40,eey9,1,,0,,,,,,,
27908,08/07/2015,12:41,eey9,2,,0,,,,,,,
27908,08/07/2015,12:41,eey9,3,,0,,,,,,,
27908,08/07/2015,12:41,eey9,4,,0,,,,,,,
27908,08/07/2015,12:41,eey9,5,,0,,,,,,,
27908,08/07/2015,12:41,eey9,6,,0,,,,,,,
27908,08/07/2015,12:41,eey9,7,,1,,50.5,0.7,,,,
27908,08/07/2015,12:41,eey9,8,,1,,50.0,0.7,,,,
27908,08/07/2015,12:42,eey9,9,,1,,47.5,0.9,,,,
27908,08/07/2015,12:43,eey9,10,,0,,44.0,0.7,,,,
27918,08/07/2015,12:43,eey9,,136.0,0,312,,,,,,
27918,08/07/2015,12:45,eey9,1,,0,,,,,,,
27918,08/07/2015,12:45,eey9,2,,0,,,,,,,
27918,08/07/2015,12:46,eey9,3,,0,,,,,,,
27918,08/07/2015,12:46,eey9,4,,1,,73.9,0.8,,,,
27918,08/07/2015,12:47,eey9,5,,1,,76.0,0.7,,,,
27918,08/07/2015,12:48,eey9,6,,1,,74.5,0.9,,,,
27918,08/07/2015,12:48,eey9,7,,0,,49.0,1.1,,,,
27986,08/07/2015,12:49,eey9,,144.0,0,292,,,,,,
27986,08/07/2015,12:50,eey9,1,,0,,,,,,,
27986,08/07/2015,12:50,eey9,2,,0,,,,,,,
27986,08/07/2015,12:50,eey9,3,,0,,,,,,,
27986,08/07/2015,12:50,eey9,4,,0,,,,,,,
27986,08/07/2015,12:51,eey9,5,,0,,,,,,,
27986,08/07/2015,12:51,eey9,6,,1,,76.5,1.6,,,,
27986,08/07/2015,12:51,eey9,7,,1,,80.2,1.6,,,,
27986,08/07/2015,12:52,eey9,8,,0,,65.3,1.6,,,,
27986,08/07/2015,12:52,eey9,9,,0,,36.5,1.3,,,,
27963,08/07/2015,12:53,eey9,,123.0,0,216,,,,,,
27963,08/07/2015,12:54,eey9,1,,0,,,,,,,
27963,08/07/2015,12:54,eey9,2,,0,,,,,,,
27963,08/07/2015,12:54,eey9,3,,0,,,,,,,
27963,08/07/2015,12:54,eey9,4,,0,,,,,,,
27963,08/07/2015,12:54,eey9,5,,0,,,,,,,
27963,08/07/2015,12:55,eey9,6,,0,,,,,,,
27963,08/07/2015,12:55,eey9,7,,1,,67.0,1.8,,,,
27963,08/07/2015,12:55,eey9,8,,1,,60.5,2.1,,,,
27963,08/07/2015,12:56,eey9,9,,0,,46.2,1.5,,,,
28040,08/07/2015,12:57,eey9,,124.0,0,212,,,,,,
28040,08/07/2015,12:58,eey9,1,,0,,,,,,,
28040,08/07/2015,12:58,eey9,2,,0,,,,,,,
28040,08/07/2015,12:58,eey9,3,,0,,,,,,,
28040,08/07/2015,12:58,eey9,4,,0,,,,,,,
28040,08/07/2015,12:58,eey9,5,,0,,,,,,,
28040,08/07/2015,12:59,eey9,6,,0,,,,,,,
28040,08/07/2015,12:59,eey9,7,,1,,65.3,1.9,,,,
28040,08/07/2015,12:59,eey9,8,,1,,66.5,2.0,,,,
28040,08/07/2015,12:59,eey9,9,,0,,49.5,1.8,,,,
28092,08/07/2015,13:01,eey9,,102.0,0,138,,,,,,
28092,08/07/2015,13:02,eey9,1,,0,,,,,,,
28092,08/07/2015,13:02,eey9,2,,0,,,,,,,
28092,08/07/2015,13:02,eey9,3,,0,,,,,,,
28092,08/07/2015,13:02,eey9,4,,0,,,,,,,
