EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,stem_id
401,19/06/2015,10:08,eey9,,144.0,0,20,,,
401,19/06/2015,10:08,eey9,1,,0,,,,
401,19/06/2015,10:08,eey9,2,,0,,,,
401,19/06/2015,10:08,eey9,3,,0,,,,
401,19/06/2015,10:08,eey9,4,,0,,,,
401,19/06/2015,10:08,eey9,5,,1,,56.0,3.5,
401,19/06/2015,10:09,eey9,6,,1,,72.5,3.7,
401,19/06/2015,10:09,eey9,7,,0,,77.8,3.7,
401,19/06/2015,10:10,eey9,8,,0,,51.5,3.5,
401,19/06/2015,10:10,eey9,9,,0,,30.6,1.8,
402,19/06/2015,10:11,eey9,,146.0,0,13,,,
402,19/06/2015,10:12,eey9,1,,0,,,,
402,19/06/2015,10:13,eey9,2,,0,,,,
402,19/06/2015,10:13,eey9,3,,0,,,,
402,19/06/2015,10:14,eey9,4,,0,,,,
402,19/06/2015,10:14,eey9,5,,0,,,,
402,19/06/2015,10:14,eey9,6,,1,,68.5,3.5,
402,19/06/2015,10:14,eey9,7,,1,,75.0,3.8,
402,19/06/2015,10:15,eey9,8,,0,,70.7,3.7,
402,19/06/2015,10:15,eey9,9,,0,,57.0,3.4,
402,19/06/2015,10:16,eey9,10,,0,,33.4,2.3,
403,19/06/2015,10:16,eey9,,137.0,0,31,,,
403,19/06/2015,10:17,eey9,1,,0,,,,
403,19/06/2015,10:18,eey9,2,,0,,,,
403,19/06/2015,10:18,eey9,3,,0,,,,
403,19/06/2015,10:18,eey9,4,,0,,,,
403,19/06/2015,10:18,eey9,5,,1,,56.2,2.3,
403,19/06/2015,10:18,eey9,6,,1,,64.2,2.5,
403,19/06/2015,10:19,eey9,7,,0,,67.2,3.2,
403,19/06/2015,10:19,eey9,8,,0,,32.0,2.3,
391,19/06/2015,10:21,eey9,,85.0,0,25,,,
391,19/06/2015,10:21,eey9,1,,0,,,,
391,19/06/2015,10:21,eey9,2,,0,,,,
391,19/06/2015,10:21,eey9,3,,0,,,,
391,19/06/2015,10:21,eey9,4,,0,,,,
391,19/06/2015,10:21,eey9,5,,1,,73.8,2.0,
391,19/06/2015,10:22,eey9,6,,0,,66.4,2.0,
391,19/06/2015,10:22,eey9,7,,0,,44.6,1.6,
391,19/06/2015,10:22,eey9,8,,0,,28.5,0.7,
392,19/06/2015,10:23,eey9,,97.0,0,22,,,
392,19/06/2015,10:24,eey9,1,,0,,,,
392,19/06/2015,10:24,eey9,2,,0,,,,
392,19/06/2015,10:24,eey9,3,,0,,,,
392,19/06/2015,10:24,eey9,4,,0,,,,
392,19/06/2015,10:24,eey9,5,,0,,,,
392,19/06/2015,10:24,eey9,6,,1,,71.5,2.1,
392,19/06/2015,10:25,eey9,7,,0,,78.9,2.0,
392,19/06/2015,10:25,eey9,8,,0,,56.4,1.7,
392,19/06/2015,10:26,eey9,9,,0,,31.0,1.1,
393,19/06/2015,10:26,eey9,,,0,25,,,
393,19/06/2015,10:27,eey9,1,,0,,,,
393,19/06/2015,10:27,eey9,2,,0,,,,
393,19/06/2015,10:27,eey9,3,,0,,,,
393,19/06/2015,10:27,eey9,4,,1,,65.4,2.2,
393,19/06/2015,10:28,eey9,5,,1,,83.1,2.0,
393,19/06/2015,10:28,eey9,6,,0,,61.4,1.8,
393,19/06/2015,10:28,eey9,7,,0,,39.2,1.3,
421,19/06/2015,10:30,eey9,,108.0,0,28,,,
421,19/06/2015,10:31,eey9,1,,0,,,,
421,19/06/2015,10:31,eey9,2,,0,,,,
421,19/06/2015,10:31,eey9,3,,0,,,,
421,19/06/2015,10:31,eey9,4,,0,,,,
421,19/06/2015,10:31,eey9,5,,1,,67.5,2.7,
421,19/06/2015,10:31,eey9,6,,0,,66.0,3.0,
421,19/06/2015,10:32,eey9,7,,0,,45.5,2.5,
422,19/06/2015,10:32,eey9,,115.0,0,13,,,
422,19/06/2015,10:33,eey9,1,,0,,,,
422,19/06/2015,10:33,eey9,2,,0,,,,
422,19/06/2015,10:33,eey9,3,,0,,,,
422,19/06/2015,10:33,eey9,4,,0,,,,
422,19/06/2015,10:33,eey9,5,,1,,51.8,2.7,
422,19/06/2015,10:34,eey9,6,,1,,56.0,2.5,
422,19/06/2015,10:34,eey9,7,,0,,52.4,2.5,
422,19/06/2015,10:34,eey9,8,,0,,37.2,1.2,
423,19/06/2015,10:35,eey9,,105.0,0,20,,,
423,19/06/2015,10:35,eey9,1,,0,,,,
423,19/06/2015,10:35,eey9,2,,0,,,,
423,19/06/2015,10:35,eey9,3,,0,,,,
423,19/06/2015,10:36,eey9,4,,0,,,,
423,19/06/2015,10:36,eey9,5,,1,,59.2,3.1,
423,19/06/2015,10:36,eey9,6,,1,,66.6,2.9,
423,19/06/2015,10:36,eey9,7,,0,,62.4,2.8,
423,19/06/2015,10:37,eey9,8,,0,,43.0,2.6,
461,19/06/2015,10:38,eey9,,110.0,0,36,,,
461,19/06/2015,10:39,eey9,1,,0,,,,
461,19/06/2015,10:39,eey9,2,,0,,,,
461,19/06/2015,10:39,eey9,3,,0,,,,
461,19/06/2015,10:39,eey9,4,,1,,59.2,1.9,
461,19/06/2015,10:39,eey9,5,,1,,76.9,1.8,
461,19/06/2015,10:40,eey9,6,,0,,59.5,1.5,
461,19/06/2015,10:40,eey9,7,,0,,37.2,1.0,
462,19/06/2015,10:41,eey9,,45.0,0,8,,,
462,19/06/2015,10:41,eey9,1,,0,,,,
462,19/06/2015,10:41,eey9,2,,1,,17.7,1.3,
462,19/06/2015,10:42,eey9,3,,1,,37.0,1.7,
462,19/06/2015,10:42,eey9,4,,0,,36.6,1.7,
462,19/06/2015,10:43,eey9,5,,0,,24.0,0.8,
463,19/06/2015,10:43,eey9,,96.0,0,30,,,
463,19/06/2015,10:44,eey9,1,,0,,,,
463,19/06/2015,10:46,eey9,2,,0,,,,
463,19/06/2015,10:46,eey9,3,,0,,,,
463,19/06/2015,10:46,eey9,4,,1,,54.8,1.8,
463,19/06/2015,10:46,eey9,5,,1,,75.7,1.9,
463,19/06/2015,10:46,eey9,6,,0,,58.0,1.6,
463,19/06/2015,10:46,eey9,7,,0,,33.5,0.7,
511,19/06/2015,10:47,eey9,,162.0,0,26,,,
511,19/06/2015,10:48,eey9,1,,0,,,,
511,19/06/2015,10:50,eey9,2,,0,,,,
511,19/06/2015,10:50,eey9,3,,0,,,,
511,19/06/2015,10:50,eey9,4,,1,,53.6,2.7,
511,19/06/2015,10:50,eey9,5,,1,,70.2,3.0,
511,19/06/2015,10:51,eey9,6,,1,,78.2,3.2,
511,19/06/2015,10:51,eey9,7,,0,,56.6,3.2,
512,19/06/2015,10:52,eey9,,166.0,0,31,,,
512,19/06/2015,10:53,eey9,1,,0,,,,
512,19/06/2015,10:54,eey9,2,,0,,,,
512,19/06/2015,10:54,eey9,3,,0,,,,
512,19/06/2015,10:54,eey9,4,,0,,,,
512,19/06/2015,10:54,eey9,5,,1,,71.5,3.3,
512,19/06/2015,10:54,eey9,6,,1,,81.2,3.7,
512,19/06/2015,10:54,eey9,7,,0,,69.6,3.3,
512,19/06/2015,10:55,eey9,8,,0,,49.6,2.7,
513,19/06/2015,10:57,eey9,,162.0,0,32,,,2
513,19/06/2015,10:57,eey9,1,,1,,31.5,2.5,
513,19/06/2015,11:01,eey9,2,,1,,60.0,3.7,
513,19/06/2015,11:02,eey9,3,,1,,74.5,3.2,
513,19/06/2015,11:02,eey9,4,,0,,82.0,3.5,
513,19/06/2015,11:03,eey9,5,,0,,68.2,3.2,
513,19/06/2015,11:03,eey9,6,,0,,42.1,1.6,
501,19/06/2015,11:03,eey9,,87.0,0,65,,,
501,19/06/2015,11:05,eey9,1,,0,,,,
501,19/06/2015,11:05,eey9,2,,0,,,,
501,19/06/2015,11:05,eey9,3,,0,,,,
501,19/06/2015,11:05,eey9,4,,0,,,,
501,19/06/2015,11:05,eey9,5,,1,,43.2,1.7,
501,19/06/2015,11:05,eey9,6,,1,,48.1,1.6,
501,19/06/2015,11:06,eey9,7,,0,,43.2,1.6,
501,19/06/2015,11:06,eey9,8,,0,,27.9,1.1,
502,19/06/2015,11:07,eey9,,94.0,0,57,,,
502,19/06/2015,11:08,eey9,1,,0,,,,
502,19/06/2015,11:08,eey9,2,,0,,,,
502,19/06/2015,11:08,eey9,3,,0,,,,
502,19/06/2015,11:08,eey9,4,,0,,,,
502,19/06/2015,11:08,eey9,5,,0,,,,
502,19/06/2015,11:08,eey9,6,,1,,44.0,1.8,
502,19/06/2015,11:09,eey9,7,,1,,56.2,1.7,
502,19/06/2015,11:09,eey9,8,,0,,44.0,1.7,
502,19/06/2015,11:09,eey9,9,,0,,29.0,1.0,
503,19/06/2015,11:10,eey9,,101.0,0,84,,,
503,19/06/2015,11:11,eey9,1,,0,,,,
503,19/06/2015,11:11,eey9,2,,0,,,,
503,19/06/2015,11:11,eey9,3,,0,,,,
503,19/06/2015,11:11,eey9,4,,1,,48.5,1.7,
503,19/06/2015,11:12,eey9,5,,1,,56.5,1.5,
503,19/06/2015,11:12,eey9,6,,0,,63.4,1.6,
503,19/06/2015,11:13,eey9,7,,0,,40.5,1.5,
503,19/06/2015,11:13,eey9,8,,0,,23.5,0.7,
481,19/06/2015,11:13,eey9,,100.0,0,62,,,
481,19/06/2015,11:15,eey9,1,,0,,,,
481,19/06/2015,11:16,eey9,2,,0,,,,
481,19/06/2015,11:16,eey9,3,,0,,,,
481,19/06/2015,11:16,eey9,4,,0,,,,
481,19/06/2015,11:16,eey9,5,,1,,42.1,2.2,
481,19/06/2015,11:16,eey9,6,,1,,49.2,2.1,
481,19/06/2015,11:16,eey9,7,,1,,53.2,2.0,
481,19/06/2015,11:17,eey9,8,,0,,50.4,1.7,
481,19/06/2015,11:17,eey9,9,,0,,37.4,1.3,
481,19/06/2015,11:17,eey9,10,,0,,16.8,0.7,
482,19/06/2015,11:18,eey9,,82.0,0,50,,,
482,19/06/2015,11:19,eey9,1,,0,,,,
482,19/06/2015,11:19,eey9,2,,0,,,,
482,19/06/2015,11:19,eey9,3,,0,,,,
482,19/06/2015,11:19,eey9,4,,0,,,,
482,19/06/2015,11:19,eey9,5,,1,,35.0,2.2,
482,19/06/2015,11:19,eey9,6,,1,,51.0,1.8,
482,19/06/2015,11:20,eey9,7,,0,,46.6,1.7,
482,19/06/2015,11:20,eey9,8,,0,,36.2,1.5,
482,19/06/2015,11:20,eey9,9,,0,,19.0,0.6,
483,19/06/2015,11:21,eey9,,79.0,0,37,,,
483,19/06/2015,11:22,eey9,1,,0,,,,
483,19/06/2015,11:22,eey9,2,,0,,,,
483,19/06/2015,11:22,eey9,3,,0,,,,
483,19/06/2015,11:22,eey9,4,,0,,,,
483,19/06/2015,11:22,eey9,5,,1,,44.1,1.7,
483,19/06/2015,11:23,eey9,6,,0,,45.0,1.6,
483,19/06/2015,11:23,eey9,7,,0,,37.5,1.3,
483,19/06/2015,11:23,eey9,8,,0,,20.8,1.0,
561,19/06/2015,11:32,eey9,,105.0,0,17,,,
561,19/06/2015,11:33,eey9,1,,0,,,,
561,19/06/2015,11:33,eey9,2,,0,,,,
561,19/06/2015,11:33,eey9,3,,0,,,,
561,19/06/2015,11:33,eey9,4,,1,,46.0,2.8,
561,19/06/2015,11:33,eey9,5,,1,,59.0,1.8,
561,19/06/2015,11:34,eey9,6,,1,,65.5,2.8,
561,19/06/2015,11:35,eey9,7,,0,,54.6,3.0,
561,19/06/2015,11:36,eey9,8,,0,,40.5,1.7,
562,19/06/2015,11:36,eey9,,103.0,0,22,,,
562,19/06/2015,11:37,eey9,1,,0,,,,
562,19/06/2015,11:37,eey9,2,,0,,,,
562,19/06/2015,11:37,eey9,3,,0,,,,
562,19/06/2015,11:37,eey9,4,,0,,,,
562,19/06/2015,11:37,eey9,5,,1,,38.6,1.8,
562,19/06/2015,11:38,eey9,6,,1,,50.4,2.3,
562,19/06/2015,11:38,eey9,7,,0,,51.5,2.6,
562,19/06/2015,11:39,eey9,8,,0,,27.9,1.8,
563,19/06/2015,11:39,eey9,,103.0,0,23,,,
563,19/06/2015,11:40,eey9,1,,0,,,,
563,19/06/2015,11:40,eey9,2,,0,,,,
563,19/06/2015,11:40,eey9,3,,0,,,,
563,19/06/2015,11:40,eey9,4,,1,,60.2,3.0,
563,19/06/2015,11:41,eey9,5,,1,,72.0,3.1,
563,19/06/2015,11:41,eey9,6,,0,,71.3,3.0,
563,19/06/2015,11:42,eey9,7,,0,,43.0,2.7,
571,19/06/2015,11:43,eey9,,86.0,0,25,,,
571,19/06/2015,11:43,eey9,1,,0,,,,
571,19/06/2015,11:45,eey9,2,,0,,,,
571,19/06/2015,11:45,eey9,3,,1,,45.2,1.3,
571,19/06/2015,11:45,eey9,4,,1,,63.7,1.4,
571,19/06/2015,11:45,eey9,5,,0,,47.5,1.4,
571,19/06/2015,11:45,eey9,6,,0,,24.5,0.8,
572,19/06/2015,11:46,eey9,,81.0,0,21,,,
572,19/06/2015,11:46,eey9,1,,0,,,,
572,19/06/2015,11:46,eey9,2,,1,,49.0,1.7,
572,19/06/2015,11:47,eey9,3,,0,,70.5,1.7,
572,19/06/2015,11:48,eey9,4,,0,,50.6,1.4,
572,19/06/2015,11:48,eey9,5,,0,,29.0,0.7,
573,19/06/2015,11:48,eey9,,72.0,0,15,,,
573,19/06/2015,11:49,eey9,1,,0,,,,
573,19/06/2015,11:49,eey9,2,,0,,,,
573,19/06/2015,11:49,eey9,3,,1,,44.5,1.7,
573,19/06/2015,11:50,eey9,4,,1,,65.5,1.9,
573,19/06/2015,11:50,eey9,5,,0,,51.6,1.6,
573,19/06/2015,11:50,eey9,6,,0,,28.5,1.0,
581,19/06/2015,11:51,eey9,,166.0,0,34,,,
581,19/06/2015,11:52,eey9,1,,0,,0.0,0.0,
581,19/06/2015,11:55,eey9,2,,0,,0.0,0.0,
581,19/06/2015,11:55,eey9,3,,0,,,,
581,19/06/2015,11:55,eey9,4,,0,,,,
581,19/06/2015,11:55,eey9,5,,1,,57.8,3.2,
581,19/06/2015,11:55,eey9,6,,1,,70.1,3.2,
581,19/06/2015,11:56,eey9,7,,1,,79.0,3.4,
581,19/06/2015,11:57,eey9,8,,0,,62.0,3.4,
581,19/06/2015,11:57,eey9,9,,0,,38.5,2.7,
582,19/06/2015,11:57,eey9,,147.0,0,11,,,
582,19/06/2015,11:59,eey9,1,,0,,,,
582,19/06/2015,11:59,eey9,2,,0,,,,
582,19/06/2015,11:59,eey9,3,,0,,,,
582,19/06/2015,11:59,eey9,4,,1,,47.5,2.5,
582,19/06/2015,12:00,eey9,5,,1,,58.3,3.0,
582,19/06/2015,12:00,eey9,6,,1,,67.9,3.0,
582,19/06/2015,12:00,eey9,7,,0,,66.3,3.2,
582,19/06/2015,12:01,eey9,8,,0,,53.0,2.5,
583,19/06/2015,12:01,eey9,,135.0,0,24,,,
