EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,stem_id
11,27/05/2015,13:21,eey9,,59.0,0,26,,,1
11,27/05/2015,13:21,eey9,1,,1,,9.5,0.8,
11,27/05/2015,13:22,eey9,2,,1,,29.0,1.3,
11,27/05/2015,13:22,eey9,3,,1,,46.6,1.4,
11,27/05/2015,13:23,eey9,4,,0,,33.5,1.2,
11,27/05/2015,13:23,eey9,5,,0,,13.5,0.4,
12,27/05/2015,13:23,eey9,,55.0,0,27,,,1
12,27/05/2015,13:24,eey9,1,,1,,2.7,0.7,
12,27/05/2015,13:25,eey9,2,,1,,13.0,1.1,
12,27/05/2015,13:25,eey9,3,,1,,26.2,1.2,
12,27/05/2015,13:26,eey9,4,,1,,45.0,1.8,
12,27/05/2015,13:26,eey9,5,,0,,33.6,1.8,
12,27/05/2015,13:26,eey9,6,,0,,24.8,1.0,
13,27/05/2015,13:27,eey9,,55.0,0,23,,,1
13,27/05/2015,13:27,eey9,1,,1,,8.0,0.8,
13,27/05/2015,13:28,eey9,2,,1,,31.0,1.5,
13,27/05/2015,13:28,eey9,3,,0,,32.5,1.6,
13,27/05/2015,13:29,eey9,4,,0,,27.6,1.2,
21,27/05/2015,13:31,eey9,,34.0,0,8,,,1
21,27/05/2015,13:31,eey9,1,,1,,6.0,1.8,
21,27/05/2015,13:32,eey9,2,,1,,27.3,2.3,
21,27/05/2015,13:32,eey9,3,,0,,29.2,2.4,
21,27/05/2015,13:32,eey9,4,,0,,24.6,1.2,
22,27/05/2015,13:33,eey9,,43.0,0,14,,,1
22,27/05/2015,13:34,eey9,1,,1,,18.5,1.7,
22,27/05/2015,13:35,eey9,2,,1,,37.5,2.0,
22,27/05/2015,13:36,eey9,3,,0,,33.6,2.5,
22,27/05/2015,13:36,eey9,4,,0,,26.5,1.2,
23,27/05/2015,13:36,eey9,,37.0,0,11,,,1
23,27/05/2015,13:37,eey9,1,,1,,30.1,2.0,
23,27/05/2015,13:38,eey9,2,,0,,26.1,1.7,
23,27/05/2015,13:38,eey9,3,,0,,17.5,1.2,
31,27/05/2015,13:39,eey9,,51.0,0,25,,,1
31,27/05/2015,13:40,eey9,1,,1,,8.6,1.0,
31,27/05/2015,13:41,eey9,2,,0,,26.9,1.7,
31,27/05/2015,13:42,eey9,3,,0,,23.6,1.7,
31,27/05/2015,13:42,eey9,4,,0,,18.0,1.0,
32,27/05/2015,13:42,eey9,,55.0,0,31,,,1
32,27/05/2015,13:43,eey9,1,,1,,5.0,0.6,
32,27/05/2015,13:44,eey9,2,,1,,24.8,1.3,
32,27/05/2015,13:44,eey9,3,,0,,35.0,1.6,
32,27/05/2015,13:45,eey9,4,,0,,29.0,1.3,
32,27/05/2015,13:45,eey9,5,,0,,20.4,0.6,
33,27/05/2015,13:45,eey9,,53.0,0,17,,,1
33,27/05/2015,13:47,eey9,1,,1,,12.2,0.9,
33,27/05/2015,13:48,eey9,2,,1,,38.0,1.6,
33,27/05/2015,13:49,eey9,3,,0,,38.6,1.7,
33,27/05/2015,13:49,eey9,4,,0,,34.9,1.2,
33,27/05/2015,13:49,eey9,5,,0,,6.7,0.1,
41,27/05/2015,13:50,eey9,,39.0,0,6,,,1
41,27/05/2015,13:51,eey9,1,,1,,18.2,2.0,
41,27/05/2015,13:52,eey9,2,,0,,19.3,2.1,
41,27/05/2015,13:52,eey9,3,,0,,11.0,1.1,
42,27/05/2015,13:53,eey9,,34.0,0,14,,,1
42,27/05/2015,13:53,eey9,1,,1,,9.0,1.4,
42,27/05/2015,13:55,eey9,2,,1,,22.3,1.8,
42,27/05/2015,13:55,eey9,3,,0,,24.0,2.0,
42,27/05/2015,13:55,eey9,4,,0,,14.0,0.9,
43,27/05/2015,13:50,eey9,,43.0,0,12,,,1
43,27/05/2015,13:57,eey9,1,,1,,11.2,2.0,
43,27/05/2015,13:58,eey9,2,,1,,30.2,2.5,
43,27/05/2015,13:58,eey9,3,,0,,28.2,2.6,
43,27/05/2015,13:58,eey9,4,,0,,16.8,1.4,
51,27/05/2015,13:59,eey9,,34.0,0,11,,,1
51,27/05/2015,14:00,eey9,1,,1,,4.5,0.8,
51,27/05/2015,14:01,eey9,2,,1,,17.0,2.0,
51,27/05/2015,14:01,eey9,3,,0,,29.6,2.5,
51,27/05/2015,14:02,eey9,4,,0,,24.0,1.7,
51,27/05/2015,14:02,eey9,5,,0,,7.5,0.2,
52,27/05/2015,14:02,eey9,,36.0,0,16,,,1
52,27/05/2015,14:03,eey9,1,,1,,17.5,2.0,
52,27/05/2015,14:04,eey9,2,,0,,29.1,2.4,
52,27/05/2015,14:04,eey9,3,,0,,26.5,1.9,
52,27/05/2015,14:05,eey9,4,,0,,8.2,0.6,
53,27/05/2015,14:05,eey9,,42.0,0,14,,,1
53,27/05/2015,14:06,eey9,1,,1,,6.3,1.0,
53,27/05/2015,14:06,eey9,2,,1,,18.0,1.3,
53,27/05/2015,14:07,eey9,3,,0,,17.0,1.4,
53,27/05/2015,14:07,eey9,4,,0,,8.0,0.5,
61,27/05/2015,14:07,eey9,,49.0,0,8,,,1
61,27/05/2015,14:08,eey9,1,,1,,3.0,0.5,
61,27/05/2015,14:09,eey9,2,,1,,22.0,1.5,
61,27/05/2015,14:10,eey9,3,,0,,27.6,1.7,
61,27/05/2015,14:10,eey9,4,,0,,22.8,1.3,
61,27/05/2015,14:10,eey9,5,,0,,9.0,0.3,
62,27/05/2015,14:11,eey9,,47.0,0,4,,,1
62,27/05/2015,14:12,eey9,1,,1,,8.2,1.0,
62,27/05/2015,14:12,eey9,2,,1,,25.3,1.4,
62,27/05/2015,14:13,eey9,3,,0,,35.2,1.7,
62,27/05/2015,14:13,eey9,4,,0,,27.1,1.4,
62,27/05/2015,14:13,eey9,5,,0,,15.8,0.6,
63,27/05/2015,14:13,eey9,,45.0,0,11,,,1
63,27/05/2015,14:14,eey9,1,,1,,14.0,1.2,
63,27/05/2015,14:15,eey9,2,,0,,16.0,1.0,
63,27/05/2015,14:15,eey9,3,,0,,14.8,1.1,
