EuroPheno.stock_id,pseudo_rep_no,pheno_date,time_taken,who,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count
35,4,04/12/2012,,others,1.0526,141.1,87.1,
36,4,04/12/2012,,others,1.1427,250.5,103.6,
39,4,04/12/2012,,others,1.1252,178,97.7,
40,4,04/12/2012,,others,4.1021,280.5,121.9,
42,4,04/12/2012,,others,2.7491,209.3,84.6,
44,4,04/12/2012,,others,1.3849,198.1,89.4,
46,4,04/12/2012,,others,1.6063,129.2,67.2,
48,4,04/12/2012,,others,0.9929,125.3,76,
50,4,04/12/2012,,others,0.7859,119,74.3,
51,4,04/12/2012,,others,0.5947,244.2,96.8,
53,4,04/12/2012,,others,2.6537,202.8,100.6,
56,4,04/12/2012,,others,1.1389,278,118.2,
57,4,04/12/2012,,others,0.1972,112.4,57.8,
58,4,04/12/2012,,others,0.8881,291.4,135.6,
61,4,04/12/2012,,others,0.5773,145.2,87.9,
62,4,04/12/2012,,others,3.6407,235.4,105.2,
35,0,28/01/2013,,,10.42,310.6237361954,181.7,
36,0,28/01/2013,,,18.2541,764.8156789547,324.6,
39,0,28/01/2013,,,14.2416,450.925493856,227.8,
40,0,28/01/2013,,,9.9718,502.2554051952,319.8,
42,0,28/01/2013,,,24.1562,672.8884741017,268.1,
44,0,28/01/2013,,,8.6666,448.4367708819,263.6,
46,0,28/01/2013,,,14.285,618.447659045,292.5,
48,0,28/01/2013,,,10.8162,419.0387307513,207.6,
50,0,28/01/2013,,,5.8082,399.9066728885,273,
51,0,28/01/2013,,,8.2855,489.0340643957,342.6,
53,0,28/01/2013,,,10.4287,441.4372375175,234.8,
56,0,28/01/2013,,,21.8141,654.5341421683,294.1,
57,0,28/01/2013,,,11.6856,477.8348110126,275.1,
58,0,28/01/2013,,,8.3235,546.58578317,374.5,
61,0,28/01/2013,,,5.4315,464.9245605849,337.1,
62,0,28/01/2013,,,17.82,913.9835122103,401.4,
