Date,site_id,PAR,t_max,t_min,rainfall_mm
01/01/2012,BSBEC,0.23112,10.66,6.153,3.4560185185
02/01/2012,BSBEC,1.1295636923,7.56,3.749,6.3564814815
03/01/2012,BSBEC,0.7073691429,12.01,6.727,7.0150462963
04/01/2012,BSBEC,0.3149082198,9.61,6.617,7.4976851852
05/01/2012,BSBEC,0.5618065055,9.93,6.965,0
06/01/2012,BSBEC,0.614557978,8.72,5.715,2.01
07/01/2012,BSBEC,1.2373690549,8.93,7.254,0.201
08/01/2012,BSBEC,0.3259012747,9.04,7.026,3.015
09/01/2012,BSBEC,0.3544085275,8.94,7.723,0.201
10/01/2012,BSBEC,0.3967405714,8.67,7.359,2.613
11/01/2012,BSBEC,0.2598361319,9.9,8.14,1.407
12/01/2012,BSBEC,0.8659890989,9.86,2.83,0
13/01/2012,BSBEC,1.8488421099,8.13,0.433,0.201
14/01/2012,BSBEC,1.8574852747,6.446,-0.153,0
15/01/2012,BSBEC,1.8330337582,5.391,1.479,0
16/01/2012,BSBEC,1.9900958242,7.989,0.473,0
17/01/2012,BSBEC,1.5945602637,7.757,-1.018,0
18/01/2012,BSBEC,0.4263389011,9.99,7.345,2.613
19/01/2012,BSBEC,0.9865368791,8.17,5.754,18.693
20/01/2012,BSBEC,0.4552512527,8.54,5.881,0.201
21/01/2012,BSBEC,1.0378103736,8.79,6.4,0
22/01/2012,BSBEC,1.1421573626,8.81,6.26,0
23/01/2012,BSBEC,0.9014004396,6.961,2.659,0
24/01/2012,BSBEC,0.3548808791,9.2,1.778,21.105
25/01/2012,BSBEC,0.8657216703,9.63,5.301,8.241
26/01/2012,BSBEC,1.2136763077,6.37,1.834,5.226
27/01/2012,BSBEC,1.2403091868,6.628,3.401,0.201
28/01/2012,BSBEC,1.7724208352,5.381,-0.927,0
29/01/2012,BSBEC,0.5065524396,2.815,0.241,4.221
30/01/2012,BSBEC,0.8876072967,2.426,0.545,0.201
31/01/2012,BSBEC,0.7266184615,1.439,-1.206,0.201
01/02/2012,BSBEC,2.8357429451,2.582,-1.621,0
02/02/2012,BSBEC,2.7246667253,1.708,-3.262,0
03/02/2012,BSBEC,2.8814392088,2.189,-6.222,0
04/02/2012,BSBEC,0.3162311209,6.113,-1.262,7.437
05/02/2012,BSBEC,1.6415042637,6.643,1.41,0
06/02/2012,BSBEC,0.8887181538,5.835,1.849,0.804
07/02/2012,BSBEC,3.1234604835,5.664,-1.332,0.201
08/02/2012,BSBEC,3.3018954725,3.093,-4.615,0
09/02/2012,BSBEC,0.9156857143,3.715,-5.091,5.025
10/02/2012,BSBEC,0.5757887473,4.523,1.323,6.834
11/02/2012,BSBEC,1.4470662857,3.275,-0.219,0
12/02/2012,BSBEC,0.8752462418,5.926,1.557,0.804
13/02/2012,BSBEC,1.1071914725,6.958,2.651,0.201
14/02/2012,BSBEC,1.1056351648,7.43,1.702,0
15/02/2012,BSBEC,2.1114965275,7.576,6.239,0
16/02/2012,BSBEC,1.3221312527,7.197,5.78,6.231
17/02/2012,BSBEC,0.4461919121,7.923,6.9,5.226
18/02/2012,BSBEC,1.8674165275,7.213,3.962,8.844
19/02/2012,BSBEC,3.0519193846,5.694,1.202,0.603
20/02/2012,BSBEC,2.0216278681,7.773,1.824,0
21/02/2012,BSBEC,1.0330813187,8.73,7.324,1.407
22/02/2012,BSBEC,0.4566643516,10.17,8.04,5.829
23/02/2012,BSBEC,1.5738582857,9.44,7.632,0.201
24/02/2012,BSBEC,1.2009465495,8.38,3.406,0.804
25/02/2012,BSBEC,2.1627534066,7.784,2.294,0
26/02/2012,BSBEC,4.0101681758,9.75,2.082,0
27/02/2012,BSBEC,1.1614050989,8.83,6.895,3.618
28/02/2012,BSBEC,0.9636883516,8.97,6.976,1.005
29/02/2012,BSBEC,2.4422297143,11.63,6.901,0
01/03/2012,BSBEC,3.0522327033,12.09,6.78,0
02/03/2012,BSBEC,4.097754989,14.81,5.461,0
03/03/2012,BSBEC,3.4518936264,10.05,5.871,1.608
04/03/2012,BSBEC,4.4332567912,5.916,2.774,6.231
05/03/2012,BSBEC,5.6181046154,7.601,1.313,0
06/03/2012,BSBEC,3.5256271648,9.23,0.084,0.603
07/03/2012,BSBEC,4.0746532747,9.12,5.24,3.618
08/03/2012,BSBEC,5.0589280879,9.15,5.189,0
09/03/2012,BSBEC,0.984543033,9.15,7.98,0.603
10/03/2012,BSBEC,1.4018756044,8.71,7.208,0
11/03/2012,BSBEC,4.2126638242,13.05,6.804,0
12/03/2012,BSBEC,2.6385151648,8.1,3.992,0.402
13/03/2012,BSBEC,1.7241547253,7.849,3.841,0.402
14/03/2012,BSBEC,3.2238435165,8.28,5.537,0.402
15/03/2012,BSBEC,1.2591454945,7.708,3.866,0
16/03/2012,BSBEC,2.4684733187,10.53,7.123,2.412
17/03/2012,BSBEC,3.4052756044,9.41,3.633,11.457
18/03/2012,BSBEC,6.4411848791,8.96,2.168,0
19/03/2012,BSBEC,5.6715214945,8.64,0.58,0
20/03/2012,BSBEC,2.7213776703,10.06,7.743,0
21/03/2012,BSBEC,3.3064512527,11.37,6.542,0
22/03/2012,BSBEC,3.3411876923,15.29,6.501,0
23/03/2012,BSBEC,6.0856140659,17.03,8.12,0
24/03/2012,BSBEC,7.3179375824,20.47,8.36,0
25/03/2012,BSBEC,7.7400079121,19.84,9.12,0
26/03/2012,BSBEC,8.0514854505,19.88,8.73,0
27/03/2012,BSBEC,8.4046549451,20.16,7.359,0
