EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
35,30/04/2012,,,0,0,,,,24.0,,,
35,30/04/2012,,,1,0,,,,,,1,0
35,30/04/2012,,,1,1,4.0,0.8,1,,,,
35,30/04/2012,,,1,2,11.5,1.2,1,,,,
35,30/04/2012,,,2,0,,,,,,1,0
35,30/04/2012,,,2,1,17.0,1.2,1,,,,
35,30/04/2012,,,2,2,15.2,1.3,0,,,,
35,30/04/2012,,,3,0,,,,,,1,0
35,30/04/2012,,,3,1,2.3,0.6,0,,,,
35,30/04/2012,,,3,2,10.0,1.1,0,,,,
35,30/04/2012,,,3,3,14.5,1.2,0,,,,
36,30/04/2012,,,0,0,,,,16.66666666666665,,,
36,30/04/2012,,,1,0,,,,,,1,0
36,30/04/2012,,,1,1,3.4,1.3,1,,,,
36,30/04/2012,,,1,2,12.4,1.7,1,,,,
36,30/04/2012,,,2,0,,,,,,1,0
36,30/04/2012,,,2,1,6.5,1.4,1,,,,
36,30/04/2012,,,2,2,12.0,2.1,1,,,,
36,30/04/2012,,,3,0,,,,,,1,0
36,30/04/2012,,,3,1,6.5,1.5,1,,,,
39,30/04/2012,,,0,0,,,,10.66666666666665,,,
39,30/04/2012,,,1,0,,,,,,1,0
39,30/04/2012,,,1,1,0.9,0.7,1,,,,
39,30/04/2012,,,1,2,5.8,1.1,1,,,,
39,30/04/2012,,,2,0,,,,,,1,0
39,30/04/2012,,,2,1,1.7,0.5,1,,,,
39,30/04/2012,,,2,2,4.4,0.9,1,,,,
39,30/04/2012,,,3,0,,,,,,1,0
39,30/04/2012,,,3,1,3.1,1.1,1,,,,
40,30/04/2012,,,0,0,,,,8.33333333333335,,,
40,30/04/2012,,,1,0,,,,,,1,0
40,30/04/2012,,,1,1,4.5,1.7,1,,,,
40,30/04/2012,,,2,0,,,,,,1,0
40,30/04/2012,,,2,1,6.5,1.8,1,,,,
40,30/04/2012,,,3,0,,,,,,1,0
40,30/04/2012,,,3,1,2.6,1.5,0,,,,
42,30/04/2012,,,0,0,,,,12.0,,,
42,30/04/2012,,,1,0,,,,,,1,0
42,30/04/2012,,,1,1,4.4,0.8,1,,,,
42,30/04/2012,,,2,0,,,,,,1,0
42,30/04/2012,,,2,1,1.4,0.5,1,,,,
42,30/04/2012,,,2,2,4.4,1.1,1,,,,
42,30/04/2012,,,3,0,,,,,,1,0
42,30/04/2012,,,3,1,2.0,0.8,1,,,,
42,30/04/2012,,,3,2,6.5,1.1,1,,,,
44,30/04/2012,,,0,0,,,,9.33333333333335,,,
44,30/04/2012,,,1,0,,,,,,1,0
44,30/04/2012,,,1,1,4.5,2.1,1,,,,
44,30/04/2012,,,2,0,,,,,,1,0
44,30/04/2012,,,2,1,2.0,1.4,1,,,,
44,30/04/2012,,,3,0,,,,,,1,0
44,30/04/2012,,,3,1,3.5,1.6,1,,,,
46,30/04/2012,,,0,0,,,,8.0,,,
46,30/04/2012,,,1,0,,,,,,1,0
46,30/04/2012,,,1,1,12.1,1.0,0,,,,
46,30/04/2012,,,2,0,,,,,,1,0
46,30/04/2012,,,2,1,5.0,0.9,1,,,,
48,30/04/2012,,,0,0,,,,31.66666666666665,,,
48,30/04/2012,,,1,0,,,,,,1,0
48,30/04/2012,,,1,1,3.4,0.9,1,,,,
48,30/04/2012,,,1,2,13.0,1.4,1,,,,
48,30/04/2012,,,2,0,,,,,,1,0
48,30/04/2012,,,2,1,5.0,1.0,1,,,,
48,30/04/2012,,,2,2,14.0,1.5,0,,,,
50,30/04/2012,,,0,0,,,,23.66666666666665,,,
50,30/04/2012,,,1,0,,,,,,1,0
50,30/04/2012,,,1,1,4.0,0.9,1,,,,
50,30/04/2012,,,1,2,13.0,1.5,1,,,,
50,30/04/2012,,,2,0,,,,,,1,0
50,30/04/2012,,,2,1,2.1,0.5,1,,,,
50,30/04/2012,,,2,2,7.9,1.2,1,,,,
50,30/04/2012,,,3,0,,,,,,1,0
50,30/04/2012,,,3,1,2.4,0.5,1,,,,
51,30/04/2012,,,0,0,,,,7.0,,,
51,30/04/2012,,,2,0,,,,,,1,0
51,30/04/2012,,,2,1,2.5,1.5,1,,,,
51,30/04/2012,,,3,0,,,,,,1,0
51,30/04/2012,,,3,1,3.2,1.1,1,,,,
53,30/04/2012,,,0,0,,,,11.0,,,
53,30/04/2012,,,1,0,,,,,,1,0
53,30/04/2012,,,1,1,4.4,0.8,1,,,,
53,30/04/2012,,,2,0,,,,,,1,0
53,30/04/2012,,,2,1,4.0,0.7,1,,,,
56,30/04/2012,,,0,0,,,,20.33333333333335,,,
56,30/04/2012,,,2,0,,,,,,1,0
56,30/04/2012,,,2,1,3.1,0.9,1,,,,
56,30/04/2012,,,2,2,8.9,1.5,0,,,,
57,30/04/2012,,,0,0,,,,21.66666666666665,,,
57,30/04/2012,,,2,0,,,,,,1,0
57,30/04/2012,,,2,1,3.5,1.0,1,,,,
57,30/04/2012,,,2,2,18.4,2.6,1,,,,
57,30/04/2012,,,2,3,19.4,0.6,0,,,,
57,30/04/2012,,,3,0,,,,,,1,0
57,30/04/2012,,,3,1,2.6,0.6,1,,,,
57,30/04/2012,,,3,2,8.9,1.0,0,,,,
58,30/04/2012,,,0,0,,,,5.0,,,
58,30/04/2012,,,1,0,,,,,,1,0
58,30/04/2012,,,1,1,2.7,2.0,1,,,,
58,30/04/2012,,,1,2,4.0,0.6,0,,,,
58,30/04/2012,,,3,0,,,,,,1,0
58,30/04/2012,,,3,1,1.4,0.7,1,,,,
58,30/04/2012,,,3,2,5.0,0.4,0,,,,
61,30/04/2012,,,0,0,,,,38.0,,,
61,30/04/2012,,,1,0,,,,,,1,0
61,30/04/2012,,,1,1,4.1,0.9,1,,,,
61,30/04/2012,,,1,2,12.0,1.5,0,,,,
61,30/04/2012,,,1,3,11.7,0.5,0,,,,
61,30/04/2012,,,2,0,,,,,,1,0
61,30/04/2012,,,2,1,1.5,1.0,1,,,,
61,30/04/2012,,,2,2,6.5,1.3,1,,,,
61,30/04/2012,,,2,3,14.0,1.8,0,,,,
61,30/04/2012,,,2,4,17.0,1.1,0,,,,
61,30/04/2012,,,3,0,,,,,,1,0
61,30/04/2012,,,3,1,3.5,1.1,1,,,,
61,30/04/2012,,,3,2,11.0,1.6,1,,,,
61,30/04/2012,,,3,3,13.5,0.7,0,,,,
62,30/04/2012,,,0,0,,,,28.0,,,
62,30/04/2012,,,1,0,,,,,,1,0
62,30/04/2012,,,1,1,0.0,0.0,0,,,,
62,30/04/2012,,,1,2,0.0,0.0,0,,,,
62,30/04/2012,,,1,3,15.1,2.0,1,,,,
62,30/04/2012,,,1,4,17.0,1.2,0,,,,
62,30/04/2012,,,1,5,5.5,0.2,0,,,,
62,30/04/2012,,,2,0,,,,,,1,0
62,30/04/2012,,,2,1,0.0,0.0,0,,,,
62,30/04/2012,,,2,2,2.0,0.7,1,,,,
62,30/04/2012,,,2,3,2.2,0.2,0,,,,
62,30/04/2012,,,3,0,,,,,,1,0
62,30/04/2012,,,3,1,6.5,1.0,1,,,,
62,30/04/2012,,,3,2,10.0,1.5,0,,,,
62,30/04/2012,,,3,3,6.5,0.6,0,,,,
35,08/05/2012,,,0,0,,,,29.33333333333335,,,
35,08/05/2012,,,1,0,,,,,,1,0
35,08/05/2012,,,1,2,10.0,1.1,1,,,,
35,08/05/2012,,,1,3,19.5,1.4,1,,,,
35,08/05/2012,,,1,4,18.0,1.0,0,,,,
35,08/05/2012,,,2,0,,,,,,1,0
35,08/05/2012,,,2,2,17.6,1.5,1,,,,
35,08/05/2012,,,2,3,18.9,1.4,0,,,,
35,08/05/2012,,,2,4,9.3,0.3,0,,,,
35,08/05/2012,,,3,0,,,,,,1,0
35,08/05/2012,,,3,2,14.0,1.2,1,,,,
35,08/05/2012,,,3,3,18.0,1.3,0,,,,
35,08/05/2012,,,3,4,12.5,0.5,0,,,,
36,08/05/2012,,,0,0,,,,23.3325,,,
36,08/05/2012,,,1,0,,,,,,1,0
36,08/05/2012,,,1,2,12.2,1.8,1,,,,
36,08/05/2012,,,1,3,21.8,2.1,1,,,,
36,08/05/2012,,,1,4,23.5,2.3,0,,,,
36,08/05/2012,,,1,5,16.1,0.7,0,,,,
36,08/05/2012,,,2,0,,,,,,1,0
36,08/05/2012,,,2,2,13.0,2.1,1,,,,
36,08/05/2012,,,2,3,19.5,2.2,0,,,,
36,08/05/2012,,,2,4,14.0,1.2,0,,,,
36,08/05/2012,,,3,0,,,,,,1,0
36,08/05/2012,,,3,1,6.5,1.1,1,,,,
36,08/05/2012,,,3,2,19.5,2.0,1,,,,
36,08/05/2012,,,3,3,27.0,2.5,0,,,,
36,08/05/2012,,,3,4,16.2,1.2,0,,,,
39,08/05/2012,,,0,0,,,,17.66666666666665,,,
39,08/05/2012,,,1,0,,,,,,1,0
39,08/05/2012,,,1,2,6.0,1.1,1,,,,
39,08/05/2012,,,1,3,16.5,1.5,0,,,,
39,08/05/2012,,,1,4,15.0,1.1,0,,,,
