EuroPheno.stock_id,pheno_date,pseudo_rep_no,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count,time_taken,who
35,28/06/2016,4,1.45,102.7,19.5,5,15:28,eey9
39,28/06/2016,4,0.75,188.7,35.6,5,15:28,eey9
40,28/06/2016,4,3.55,649.9,78.9,5,15:28,eey9
42,28/06/2016,4,1.8,362.5,48.8,5,11:59,eey9
44,28/06/2016,4,2.75,306.4,43.8,2,13:19,eey9
46,28/06/2016,4,1.6,145.1,27.8,5,12:09,eey9
48,28/06/2016,4,2.05,100,16.9,5,12:46,eey9
50,28/06/2016,4,3.35,64.8,9,5,12:20,eey9
51,28/06/2016,4,2.45,336.4,49.1,2,12:23,eey9
53,28/06/2016,4,0.95,142.7,23.3,5,13:21,eey9
56,28/06/2016,4,2.35,496.6,67.7,5,12:49,eey9
57,28/06/2016,4,0.8,139.8,22.5,5,12:52,eey9
58,28/06/2016,4,3.15,289,38.3,2,12:55,eey9
61,28/06/2016,4,2.85,87,14.2,5,13:24,eey9
35,12/07/2016,5,1.85,107.3,25.3,5,11:52,eey9
39,12/07/2016,5,1.05,174.8,34.5,5,10:13,eey9
40,12/07/2016,5,3.9,375.4,73.5,3,10:04,eey9
42,12/07/2016,5,3.95,306,57.9,2,10:32,eey9
44,12/07/2016,5,1.7,506.3,95.4,3,11:48,eey9
46,12/07/2016,5,0.95,106.6,20.2,5,10:37,eey9
48,12/07/2016,5,2.25,76,15.1,5,11:11,eey9
50,12/07/2016,5,3.15,125.1,29.9,5,10:46,eey9
51,12/07/2016,5,3.1,503,90.1,3,10:42,eey9
53,12/07/2016,5,1.9,229.4,45.2,5,11:56,eey9
56,12/07/2016,5,1.95,392.1,63.3,5,11:08,eey9
57,12/07/2016,5,1,188,45.7,5,11:15,eey9
58,12/07/2016,5,2.65,407.5,78.2,3,11:18,eey9
61,12/07/2016,5,4.75,119.9,25,5,12:00,eey9
35,09/08/2016,6,2.05,148.1,45,5,12:36,NoUser
39,09/08/2016,6,3.1,196.5,38.9,5,10:52,NoUser
40,09/08/2016,6,3.15,365.3,93.6,2,10:48,NoUser
42,09/08/2016,6,2.6,360.5,78.7,2,10:56,NoUser
44,09/08/2016,6,3.45,360.2,106.4,2,12:31,NoUser
46,09/08/2016,6,4.2,370.4,106.7,5,11:15,NoUser
48,09/08/2016,6,3.45,154,43.1,5,11:48,NoUser
50,09/08/2016,6,3.3,153.2,43.3,5,11:25,NoUser
51,09/08/2016,6,3.45,387.6,99.6,2,11:19,NoUser
53,09/08/2016,6,2.65,328.3,75.8,5,12:39,NoUser
56,09/08/2016,6,4.05,463.3,116.8,3,11:52,NoUser
57,09/08/2016,6,3.55,189.3,44.2,5,11:57,NoUser
58,09/08/2016,6,3.25,290.6,84.7,2,12:02,NoUser
61,09/08/2016,6,2.8,171,53,5,12:43,NoUser
35,07/09/2016,7,1.55,126.4,37.5,5,13:18,eey9
39,07/09/2016,7,4.2,199.5,40.7,5,11:23,eey9
40,07/09/2016,7,4.95,419.4,130.1,2,11:27,eey9
42,07/09/2016,7,2.5,372.5,105,2,11:31,eey9
44,07/09/2016,7,2.25,429.5,147.4,2,13:14,eey9
46,07/09/2016,7,1.65,171.2,42,5,11:52,eey9
48,07/09/2016,7,4.05,163.8,50.5,5,12:24,eey9
50,07/09/2016,7,3.65,115.6,38.1,5,12:02,eey9
51,07/09/2016,7,4,395.2,126.7,2,11:56,eey9
53,07/09/2016,7,1.9,246.7,58.8,5,13:07,eey9
56,07/09/2016,7,3.4,300.9,96.9,2,12:30,eey9
57,07/09/2016,7,4,134.9,35.7,3,12:34,eey9
58,07/09/2016,7,4.55,351.2,117.8,2,12:38,eey9
61,07/09/2016,7,4.75,133.5,45.1,5,13:11,eey9
35,04/10/2016,8,2.75,151.1,64.2,5,12:25,eey9
39,04/10/2016,8,3.15,175.1,60.8,3,11:03,eey9
40,04/10/2016,8,3.65,364.6,130.1,2,10:59,eey9
42,04/10/2016,8,4.15,333.2,124.3,2,11:07,eey9
44,04/10/2016,8,1.85,390.2,153.1,2,12:21,eey9
46,04/10/2016,8,5.4,179.0,54.9,3,11:23,eey9
48,04/10/2016,8,2.65,112.3,42.7,5,11:48,eey9
50,04/10/2016,8,3.05,120.1,43.7,5,11:30,eey9
51,04/10/2016,8,3.65,411.5,134.1,2,11:27,eey9
53,04/10/2016,8,3.8,183.1,57.0,3,12:28,eey9
56,04/10/2016,8,4.15,317.2,117.8,2,11:52,eey9
57,04/10/2016,8,5.65,174.4,59.9,3,11:56,eey9
58,04/10/2016,8,3.35,362.2,118.9,2,12:01,eey9
61,04/10/2016,8,2.25,141.0,59.0,5,12:30,eey9
