"Date","site_id","PAR","t_max","t_min","rainfall_mm"
"01/01/2016","BSBEC",0.355945450549451,8.193768,0.469423,0.1
"02/01/2016","BSBEC",0.746166065934066,11.72929,7.214027,5.6
"03/01/2016","BSBEC",0.660644307692308,9.817676,5.208334,2.9
"04/01/2016","BSBEC",0.692794285714286,8.675763,6.626928,2.8
"05/01/2016","BSBEC",0.509019032967033,7.263006,3.973165,2.3
"06/01/2016","BSBEC",0.418885714285714,7.10611,1.986148,0.3
"07/01/2016","BSBEC",0.859632527472527,8.488725,3.914658,7.7
"08/01/2016","BSBEC",0.911955956043956,7.979987,4.337162,9.8
"09/01/2016","BSBEC",0.502409274725275,7.742914,4.139493,9.8
"10/01/2016","BSBEC",0.87228989010989,6.104701,3.756155,3
"11/01/2016","BSBEC",0.756562945054945,7.001358,2.738978,2.6
"12/01/2016","BSBEC",0.43590778021978,6.345583,5.322886,1.7
"13/01/2016","BSBEC",0.684367912087912,5.456759,3.033232,4.2
"14/01/2016","BSBEC",1.67712210989011,5.031399,2.303123,2.3
"15/01/2016","BSBEC",0.834893406593407,5.491515,1.909221,4.2
"16/01/2016","BSBEC",0.692647516483516,6.632906,-1.328827,2.7
"17/01/2016","BSBEC",0.687552131868132,6.591876,3.856735,0.2
"18/01/2016","BSBEC",0.799157274725275,6.147027,3.323252,0
"19/01/2016","BSBEC",1.12132879120879,5.976326,-1.236485,0
"20/01/2016","BSBEC",2.22419472527473,6.990989,-2.846617,0
"21/01/2016","BSBEC",0.699929406593407,9.231814,1.349477,0.1
"22/01/2016","BSBEC",1.56183468131868,11.02174,8.437938,2.9
"23/01/2016","BSBEC",0.768543428571429,12.0598,7.020438,2.9
"24/01/2016","BSBEC",0.57695221978022,13.46831,11.3154,0
"25/01/2016","BSBEC",1.17592338461538,13.41713,7.547757,0
"26/01/2016","BSBEC",0.20737978021978,11.21138,7.074025,10.7
"27/01/2016","BSBEC",0.727705978021978,11.7639,5.437484,2.6
"28/01/2016","BSBEC",1.08910325274725,9.584478,5.402303,1.4
"29/01/2016","BSBEC",0.932173318681319,10.15195,8.07821,5.9
"30/01/2016","BSBEC",1.54040320879121,8.177315,4.070075,0.8
"31/01/2016","BSBEC",0.25169221978022,10.11363,4.922064,0.5
"01/02/2016","BSBEC",1.42852193406593,11.12577,8.038426,0
"02/02/2016","BSBEC",1.87719151648352,8.188217,5.016586,0
"03/02/2016","BSBEC",1.44821472527473,7.320674,4.667,0.4
"04/02/2016","BSBEC",0.534666461538462,9.432816,6.170474,1.8
"05/02/2016","BSBEC",0.625691472527472,9.689077,5.594452,9.5
"06/02/2016","BSBEC",0.509027736263736,9.168243,3.80318,5.8
"07/02/2016","BSBEC",1.26122320879121,9.135348,3.403126,10.1
"08/02/2016","BSBEC",0.720203340659341,7.909757,5.707955,1.7
"09/02/2016","BSBEC",1.57256268131868,6.078098,3.221881,3
"10/02/2016","BSBEC",2.76671156043956,7.475813,1.183135,0.2
"11/02/2016","BSBEC",2.40511213186813,8.224276,0.03868378,0.2
"12/02/2016","BSBEC",1.67369657142857,7.280433,1.773438,0
"13/02/2016","BSBEC",2.13467498901099,6.601983,1.235652,0.1
"14/02/2016","BSBEC",2.64270778021978,7.685241,0.3663017,0
"15/02/2016","BSBEC",3.15382153846154,6.911835,-2.368379,0
"16/02/2016","BSBEC",2.33142567032967,6.991397,-2.195829,0
"17/02/2016","BSBEC",0.810583912087912,6.969135,2.464536,7.9
"18/02/2016","BSBEC",3.16506342857143,7.246262,-0.3186256,0
"19/02/2016","BSBEC",1.56033336263736,8.928294,2.797655,0.1
"20/02/2016","BSBEC",0.223015252747253,9.075065,7.288592,3.7
"21/02/2016","BSBEC",0.664089626373626,9.674582,8.496442,0.4
"22/02/2016","BSBEC",3.41062694505494,7.860767,4.81615,0
