EuroPheno.stock_id,pheno_date,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,canopy_height,stem_count,base_diameter_1,base_diameter_2,stem_diam_half_height,field_flowering_score,time_taken,who
35,28/06/2016,1,0,,,94,34,32,26,8,0,11:13,eey9
35,28/06/2016,1,1,26,1.6,,,,,,,11:15,eey9
35,28/06/2016,1,2,36,2,,,,,,,11:16,eey9
35,28/06/2016,1,3,47,2,,,,,,,11:16,eey9
35,28/06/2016,1,4,52,2,,,,,,,11:16,eey9
35,28/06/2016,1,5,58,2,,,,,,,11:16,eey9
35,28/06/2016,1,6,59,2.2,,,,,,,11:17,eey9
35,28/06/2016,1,7,45,1.8,,,,,,,11:17,eey9
35,28/06/2016,1,8,25,0.9,,,,,,,11:17,eey9
35,28/06/2016,2,0,,,68,18,28,19,5,0,11:18,eey9
35,28/06/2016,2,1,20,1.2,,,,,,,11:20,eey9
35,28/06/2016,2,2,29,1.9,,,,,,,11:21,eey9
35,28/06/2016,2,3,38,1.8,,,,,,,11:21,eey9
35,28/06/2016,2,4,44,1.8,,,,,,,11:22,eey9
35,28/06/2016,2,5,50,1.9,,,,,,,11:22,eey9
35,28/06/2016,2,6,55,2.2,,,,,,,11:22,eey9
35,28/06/2016,2,7,44,1.9,,,,,,,11:23,eey9
35,28/06/2016,2,8,30,1.3,,,,,,,11:23,eey9
35,28/06/2016,2,9,14.5,0.1,,,,,,,11:23,eey9
35,28/06/2016,3,0,,,113,75,31,27,7,0,11:23,eey9
35,28/06/2016,3,1,19,1.4,,,,,,,11:25,eey9
35,28/06/2016,3,2,33,1.6,,,,,,,11:26,eey9
35,28/06/2016,3,3,53,1.7,,,,,,,11:26,eey9
35,28/06/2016,3,4,60,1.7,,,,,,,11:27,eey9
35,28/06/2016,3,5,63,1.7,,,,,,,11:27,eey9
35,28/06/2016,3,6,60,1.7,,,,,,,11:27,eey9
35,28/06/2016,3,7,47,1.7,,,,,,,11:27,eey9
35,28/06/2016,3,8,30,1,,,,,,,11:28,eey9
39,28/06/2016,1,0,,,67,21,34,32,4,0,13:13,eey9
39,28/06/2016,1,1,9.6,0.8,,,,,,,13:15,eey9
39,28/06/2016,1,2,16.5,1.5,,,,,,,13:16,eey9
39,28/06/2016,1,3,41,1.7,,,,,,,13:16,eey9
39,28/06/2016,1,4,64,1.7,,,,,,,13:16,eey9
39,28/06/2016,1,5,63,1.6,,,,,,,13:17,eey9
39,28/06/2016,1,6,43,1.2,,,,,,,13:17,eey9
39,28/06/2016,1,7,14,0.2,,,,,,,13:17,eey9
39,28/06/2016,2,0,,,80,31,39,30,5,0,13:18,eey9
39,28/06/2016,2,1,9,0.8,,,,,,,13:19,eey9
39,28/06/2016,2,2,29.5,1.2,,,,,,,13:20,eey9
39,28/06/2016,2,3,52,1.2,,,,,,,13:20,eey9
39,28/06/2016,2,4,71,1.2,,,,,,,13:21,eey9
39,28/06/2016,2,5,39,1,,,,,,,13:21,eey9
39,28/06/2016,2,6,23,0.4,,,,,,,13:21,eey9
39,28/06/2016,3,0,,,100,13,28,33,9,0,13:22,eey9
39,28/06/2016,3,1,6.5,0.8,,,,,,,13:24,eey9
39,28/06/2016,3,2,37,1.8,,,,,,,13:25,eey9
39,28/06/2016,3,3,50,2.3,,,,,,,13:25,eey9
39,28/06/2016,3,4,60,2.2,,,,,,,13:25,eey9
39,28/06/2016,3,5,77,2.4,,,,,,,13:26,eey9
39,28/06/2016,3,6,73,2.3,,,,,,,13:26,eey9
39,28/06/2016,3,7,59,2,,,,,,,13:26,eey9
40,28/06/2016,1,0,,,172,18,52,42,10,0,12:54,eey9
40,28/06/2016,1,1,10,1,,,,,,,12:59,eey9
40,28/06/2016,1,2,25,2.5,,,,,,,13:00,eey9
40,28/06/2016,1,3,45,2.6,,,,,,,13:00,eey9
40,28/06/2016,1,4,63,2.8,,,,,,,13:00,eey9
40,28/06/2016,1,5,75,2.6,,,,,,,13:00,eey9
40,28/06/2016,1,6,75,2.8,,,,,,,13:01,eey9
40,28/06/2016,1,7,48,2.4,,,,,,,13:01,eey9
40,28/06/2016,1,8,16,0.5,,,,,,,13:02,eey9
40,28/06/2016,2,0,,,188,8,44,22,11,0,13:02,eey9
40,28/06/2016,2,1,39,3.9,,,,,,,13:04,eey9
40,28/06/2016,2,2,56,4.2,,,,,,,13:04,eey9
40,28/06/2016,2,3,70,3.7,,,,,,,13:05,eey9
