Date,Block,Plot No,Genotype,Sample (pseudo rep),Tallest stem freshweight(g)  Leaf,Tallest stem freshweight(g) Stem,Tallest stem Dry weight(g) Leaf,Tallest stem Dry weight(g) Stem,Fresh weight above ground material(g),Fresh weight above ground  sub-sample(g),dry weight above ground sub-sample(g),Fresh weight Below Harvest Mass  (g) (stubble),Dry weight Below Harvest Mass  (g) (stubble),Rhizome fresh weight(g),Rhizome sub sample fresh weight(g),Rhizome sub sample dry weight(g),notes
2010-02-10 00:00:00 UTC,1,35,EMI-11,4,,,,,3.9,,1.4,,,37.4,,9.6,
2010-02-10 00:00:00 UTC,1,36,Giganteus,8,,,,,32.9,,11.9,,,175.0,,31.6,
2010-02-10 00:00:00 UTC,1,39,Goliath,14,,,,,15.0,,5.1,,,46.7,,11.6,
2010-02-10 00:00:00 UTC,1,40,Sac-5,4,,,,,24.9,,15.7,,,116.8,,25.5,
2010-02-10 00:00:00 UTC,2,42,Giganteus,2,,,,,193.3,,74.0,,,307.5,,54.8,
2010-02-10 00:00:00 UTC,2,44,Sac-5,6,,,,,12.9,,5.7,,,15.7,,4.4,
2010-02-10 00:00:00 UTC,2,46,Goliath,13,,,,,17.8,,7.6,,,38.3,,4.9,
2010-02-10 00:00:00 UTC,2,48,EMI-11,2,,,,,16.3,,7.0,,,84.1,,20.9,
2010-02-10 00:00:00 UTC,3,50,EMI-11,8,,,,,2.0,,0.4,,,19.8,,5.7,
2010-02-10 00:00:00 UTC,3,51,Sac-5,10,,,,,14.6,,7.1,,,63.0,,13.9,
2010-02-10 00:00:00 UTC,3,53,Goliath,12,,,,,31.7,,14.4,,,87.9,,18.4,
2010-02-10 00:00:00 UTC,3,56,Giganteus,1,,,,,97.1,,44.6,,,292.5,,56.2,
2010-02-10 00:00:00 UTC,4,57,Goliath,7,,,,,23.7,,10.6,,,81.7,,18.5,
2010-02-10 00:00:00 UTC,4,58,Sac-5,3,,,,,4.0,,1.7,,,18.3,,3.9,
2010-02-10 00:00:00 UTC,4,61,EMI-11,11,,,,,7.2,,2.3,,,44.3,,10.6,
2010-02-10 00:00:00 UTC,4,62,Giganteus,15,,,,,133.8,,60.7,,,349.5,,74.6,
2010-11-08 00:00:00 UTC,1,35,EMI-11,,3.7,6.4,2.7,3.4,46.4,21.2,10.2,11.5,5.3,87.9,,37.6,
2010-11-08 00:00:00 UTC,1,36,Giganteus,,38.2,43.5,13.1,13.3,178.8,87.0,21.6,22.3,8.4,143.0,,39.4,
2010-11-08 00:00:00 UTC,1,39,Goliath,,15.0,22.8,7.2,8.9,173.8,68.0,26.8,13.9,6.3,94.2,,32.5,
2010-11-08 00:00:00 UTC,1,40,Sac-5,,25.9,23.4,8.4,7.5,112.5,34.9,11.0,4.2,2.2,232.4,,60.0,
2010-11-08 00:00:00 UTC,2,42,Giganteus,,45.0,78.5,17.6,29.4,2504.9,213.7,78.1,223.2,89.5,964.5,,283.8,
2010-11-08 00:00:00 UTC,2,44,Sac-5,,8.4,14.8,3.8,4.6,67.9,35.2,13.5,15.5,4.5,48.8,,13.7,
2010-11-08 00:00:00 UTC,2,46,Goliath,,11.8,21.4,7.9,9.5,486.8,90.4,41.4,107.0,36.9,437.6,,151.0,
2010-11-08 00:00:00 UTC,2,48,EMI-11,,3.3,2.0,1.6,1.0,7.0,4.3,2.31,1.9,0.8,13.5,,4.5,
2010-11-08 00:00:00 UTC,3,50,EMI-11,,1.2,0.7,1.0,0.7,2.7,2.9,1.4,1.1,0.7,26.7,,7.5,
2010-11-08 00:00:00 UTC,3,51,Sac-5,,31.2,27.4,10.7,8.7,25.3,6.5,2.4,4.7,2.6,78.7,,23.9,
2010-11-08 00:00:00 UTC,3,53,Goliath,,16.6,29.5,11.5,13.6,711.3,157.6,60.3,80.3,33.4,526.7,,179.1,
2010-11-08 00:00:00 UTC,3,56,Giganteus,,52.3,81.6,22.6,32.5,1127.8,129.2,44.3,76.9,32.5,550.7,,168.4,
2010-11-08 00:00:00 UTC,4,57,Goliath,,15.3,20.8,7.4,0.2,814.9,122.3,49.6,60.3,29.2,286.4,,104.9,
2010-11-08 00:00:00 UTC,4,58,Sac-5,,27.9,86.1,13.4,32.6,341.3,93.0,40.9,28.2,13.3,581.7,,143.7,
2010-11-08 00:00:00 UTC,4,61,EMI-11,,6.6,13.5,4.3,7.0,354.0,109.8,50.1,57.8,27.3,363.8,,123.5,
2010-11-08 00:00:00 UTC,4,62,Giganteus,,48.0,85.9,20.5,27.6,1556.3,146.3,48.8,118.7,46.1,764.5,,204.8,
2010-11-10 00:00:00 UTC,1,1,Giganteus,13,4.4,7.9,3.32,2.06,,,,5.4,1.77,54.3,36.4,13.15,
2010-11-10 00:00:00 UTC,1,3,Goliath,13,2.4,24.0,1.81,10.88,455.17,326.5,155.49,151.5,20.6,314.5,123.8,55.98,
2010-11-10 00:00:00 UTC,1,6,EMI-11,3,1.5,17.6,1.11,8.45,227.67,133.2,66.99,217.9,27.18,301.4,137.4,55.39,
2010-11-10 00:00:00 UTC,1,7,Sac-5,6,10.1,45.3,7.38,17.55,283.95,118.3,56.22,48.9,21.61,850.5,119.4,26.47,
2010-11-10 00:00:00 UTC,3,17,Giganteus,15,15.8,43.2,8.5,14.88,600.7,260.9,97.95,68.3,26.99,1093.5,303.8,79.47,
