EuroPheno.stock_id,genotype,pheno_date,pseudo_rep_no,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count,time_taken,who
77670,Mx 3542#4,21/06/2016,6,2.15,169.35,25.3,5,12:02,eey9
77670,Mx 3542#4,21/06/2016,7,,125.55,22.0,,16:31,eey9
77670,Mx 3542#4,21/06/2016,8,0.45,78.55,11.6,5,12:03,eey9
77670,Mx 3542#4,21/06/2016,9,1.15,151.8,25.7,5,12:00,eey9
77670,Mx 3542#4,21/06/2016,10,0.55,102.7,20.7,5,12:04,eey9
77692,Mx 3542#26,21/06/2016,26,0.35,103.6,22.9,5,12:10,eey9
77692,Mx 3542#26,21/06/2016,27,0.5,70.35,15.9,5,12:09,eey9
77692,Mx 3542#26,21/06/2016,28,1.2,174.9,39.4,5,12:15,eey9
77692,Mx 3542#26,21/06/2016,29,0.9,112,22.2,5,12:12,eey9
77692,Mx 3542#26,21/06/2016,30,0.2,46.2,7.0,5,12:13,eey9
77697,Mx 3437#3,21/06/2016,31,,176.45,34.5,,16:16,eey9
77697,Mx 3437#3,21/06/2016,32,,105.45,31.6,,12:21,eey9
77697,Mx 3437#3,21/06/2016,33,,233.5,55.1,,16:27,eey9
77697,Mx 3437#3,21/06/2016,34,1.35,158.35,34.0,5,12:24,eey9
77697,Mx 3437#3,21/06/2016,35,0.3,33.7,7.4,5,12:23,eey9
77722,Mx 3437#132,21/06/2016,1,,147.95,51.9,,16:28,eey9
77722,Mx 3437#132,21/06/2016,2,,366.2,116.6,,16:30,eey9
77722,Mx 3437#132,21/06/2016,3,0.35,146.2,32.7,5,12:46,eey9
77722,Mx 3437#132,21/06/2016,4,,93.35,23.7,,16:15,eey9
77722,Mx 3437#132,21/06/2016,5,,232.95,65.4,,16:25,eey9
77726,Mx 3539#6,21/06/2016,31,2.25,180.8,27.6,5,13:02,eey9
77726,Mx 3539#6,21/06/2016,32,1.35,110.5,20.8,5,13:00,eey9
77726,Mx 3539#6,21/06/2016,33,0.95,125.35,22.3,5,13:05,eey9
77726,Mx 3539#6,21/06/2016,34,1.3,222.55,38.7,5,13:04,eey9
77726,Mx 3539#6,21/06/2016,35,1.4,91.85,14.8,5,13:03,eey9
77742,Mx 3539#22,21/06/2016,6,0.9,106.55,15.5,5,13:13,eey9
77742,Mx 3539#22,21/06/2016,7,0.35,56.1,11.1,5,13:12,eey9
77742,Mx 3539#22,21/06/2016,8,2,311.25,50.8,5,13:09,eey9
77742,Mx 3539#22,21/06/2016,9,0.65,70.2,10.8,5,13:10,eey9
77742,Mx 3539#22,21/06/2016,10,,85.7,18.6,,16:14,eey9
77756,Mx 3536#10,21/06/2016,21,0.55,51.75,7.6,5,13:42,eey9
77756,Mx 3536#10,21/06/2016,22,0.5,78.4,13.8,5,13:44,eey9
77756,Mx 3536#10,21/06/2016,23,0.9,205.7,60.3,5,13:47,eey9
77756,Mx 3536#10,21/06/2016,24,1.25,205.3,36.5,5,13:45,eey9
77756,Mx 3536#10,21/06/2016,25,1.05,140.65,19.5,5,13:43,eey9
77761,Mx 3524#3,21/06/2016,1,,351.75,75.6,,16:03,eey9
77761,Mx 3524#3,21/06/2016,2,,74.9,14.5,,16:08,eey9
77761,Mx 3524#3,21/06/2016,3,,176.55,35.8,,16:05,eey9
77761,Mx 3524#3,21/06/2016,4,,111.25,23.6,,16:04,eey9
77761,Mx 3524#3,21/06/2016,5,,289.2,60.1,,16:03,eey9
77780,Mx 3524#22,21/06/2016,21,,272.9,63.5,,16:01,eey9
77780,Mx 3524#22,21/06/2016,22,,181.35,39.5,,16:02,eey9
77780,Mx 3524#22,21/06/2016,23,,59.15,12.5,,16:01,eey9
77780,Mx 3524#22,21/06/2016,24,,364.5,83.5,,16:07,eey9
77780,Mx 3524#22,21/06/2016,25,,230.35,44.8,,16:02,eey9
82262,Mx 3536#121,21/06/2016,31,,254.65,41.6,,13:27,eey9
82262,Mx 3536#121,21/06/2016,32,0.6,131.3,23.3,5,13:24,eey9
82262,Mx 3536#121,21/06/2016,33,0.65,106.35,16.6,5,13:25,eey9
82262,Mx 3536#121,21/06/2016,34,1.25,76.8,10.4,5,13:23,eey9
82262,Mx 3536#121,21/06/2016,35,1.25,130.65,27.1,5,13:26,eey9
77670,Mx 3542#4,19/07/2016,31,3.95,257.2,67.3,3,12:00,NoUser
77670,Mx 3542#4,19/07/2016,32,,169.55,41.8,,18:40,NoUser
77670,Mx 3542#4,19/07/2016,33,4,492.25,116,5,12:26,NoUser
77670,Mx 3542#4,19/07/2016,34,1.55,434.2,104.4,5,12:29,NoUser
77670,Mx 3542#4,19/07/2016,35,1.8,280.1,68.2,3,12:32,NoUser
77692,Mx 3542#26,19/07/2016,11,4,274.75,51.4,5,12:50,NoUser
77692,Mx 3542#26,19/07/2016,12,1.15,104.75,20.3,5,12:53,NoUser
77692,Mx 3542#26,19/07/2016,13,,44.65,12.7,,18:41,NoUser
77692,Mx 3542#26,19/07/2016,14,1.5,128.85,25.5,5,12:56,NoUser
77692,Mx 3542#26,19/07/2016,15,1.55,457.5,97.1,5,12:58,NoUser
77697,Mx 3437#3,19/07/2016,21,0.9,56.85,13,5,13:20,NoUser
77697,Mx 3437#3,19/07/2016,22,2.05,118.1,31.2,5,13:23,NoUser
77697,Mx 3437#3,19/07/2016,23,,431.1,94,,13:26,NoUser
77697,Mx 3437#3,19/07/2016,24,,335.45,81.7,,18:40,NoUser
