Date,Met Station,Day of year,Date month,Date year,Type Flag,PAR,Global rad,Net rad,Av air temp,T max,T min,T 5cm Below Ground,RH %,Rainfall mm,Irrigation mm,Wind run km,Windspeed (max) m/s,Degree days base 0,Degree days base 6,Degree days base 10,Penman pot evap,Penman - Monteith pot evap,Soil moisture def mm,Hydro thermal dd
met_data_date,met_station_id,date_day_of_year,date_month,date_year,day_month_flag,par,global_rad,net_rad,av_air_temp,t_max,t_min,t_below_ground_5cm_avg,rh,rainfall_mm,irrigation_mm,wind_run_km,wind_speed_max_ms,ddays_base_0,ddays_base_6,ddays_base_10,penman_pe,penman_monteith_pe,soil_moisture_def_mm,hydro_thermal_dd
01/01/2016 00:00,Hackthorn,1,1,2016,H,2.21539e-05,,,3.85,,,,94.8,0.0,,8.4096,2.622,,,,,,,
01/01/2016,Hackthorn,1,1,2016,D,0.55909,,,3.31254,7.01,-0.555,,96.7125,0.2,,154.069,4.659,3.36625,0.2525,0.0,,0.18568,0.0,
01/01/2016 01:00,Hackthorn,1,1,2016,H,0.0,,,3.136,,,,94.6,0.0,,6.12,1.88,,,,,,,
01/01/2016 02:00,Hackthorn,1,1,2016,H,8.78242e-05,,,2.374,,,,95.3,0.0,,5.6088,1.985,,,,,,,
01/01/2016 03:00,Hackthorn,1,1,2016,H,0.000153495,,,1.888,,,,95.7,0.0,,1.8324,1.212,,,,,,,
01/01/2016 04:00,Hackthorn,1,1,2016,H,4.35165e-05,,,0.77,,,,97.1,0.0,,1.1736,0.547,,,,,,,
01/01/2016 05:00,Hackthorn,1,1,2016,H,2.21539e-05,,,-0.1,,,,97.9,0.0,,0.7884,0.503,,,,,,,
01/01/2016 06:00,Hackthorn,1,1,2016,H,6.56703e-05,,,-0.555,,,,98.5,0.0,,1.926,0.948,,,,,,,
01/01/2016 07:00,Hackthorn,1,1,2016,H,0.000109187,,,-0.119,,,,99.0,0.0,,2.1744,0.871,,,,,,,
