EuroPheno.stock_id,genotype,pheno_date,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,canopy_height,stem_count,base_diameter_1,base_diameter_2,stem_diam_half_height,field_flowering_score,time_taken,who,tallest_stem
77670,Mx 3542#4,20/06/2016,6,0,,,107,37,31,30,8.5,0,14:51,eey9,
77670,Mx 3542#4,20/06/2016,6,1,2.5,1,,,,,,,14:53,eey9,
77670,Mx 3542#4,20/06/2016,6,2,18,2.7,,,,,,,14:54,eey9,
77670,Mx 3542#4,20/06/2016,6,3,39,2,,,,,,,14:54,eey9,
77670,Mx 3542#4,20/06/2016,6,4,62.5,2.3,,,,,,,14:54,eey9,
77670,Mx 3542#4,20/06/2016,6,5,70.5,2.6,,,,,,,14:54,eey9,
77670,Mx 3542#4,20/06/2016,6,6,74.3,2.5,,,,,,,14:55,eey9,
77670,Mx 3542#4,20/06/2016,6,7,57.5,2.6,,,,,,,14:55,eey9,
77670,Mx 3542#4,20/06/2016,6,8,30.2,1.4,,,,,,,14:55,eey9,
77670,Mx 3542#4,20/06/2016,7,0,,,54,14,28,14,6,0,14:55,eey9,
77670,Mx 3542#4,20/06/2016,7,1,12.6,1,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,7,2,27.8,1.4,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,7,3,42,1.4,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,7,4,42.5,1.3,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,7,5,26.8,1.2,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,7,6,14,0.7,,,,,,,14:57,eey9,
77670,Mx 3542#4,20/06/2016,8,0,,,56,16,21,22,7.3,0,14:58,eey9,
77670,Mx 3542#4,20/06/2016,8,1,10,2,,,,,,,14:59,eey9,
77670,Mx 3542#4,20/06/2016,8,2,9,1.4,,,,,,,14:59,eey9,
77670,Mx 3542#4,20/06/2016,8,3,23.6,2.2,,,,,,,14:59,eey9,
77670,Mx 3542#4,20/06/2016,8,4,31.5,1.8,,,,,,,14:59,eey9,
77670,Mx 3542#4,20/06/2016,8,5,49.5,1.9,,,,,,,14:59,eey9,
77670,Mx 3542#4,20/06/2016,8,6,43,2,,,,,,,15:00,eey9,
77670,Mx 3542#4,20/06/2016,8,7,30.2,1.4,,,,,,,15:00,eey9,
77670,Mx 3542#4,20/06/2016,8,8,14,0.5,,,,,,,15:00,eey9,
77670,Mx 3542#4,20/06/2016,9,0,,,70,20,27,29,8,0,15:00,eey9,
77670,Mx 3542#4,20/06/2016,9,1,7,1.7,,,,,,,15:01,eey9,
77670,Mx 3542#4,20/06/2016,9,2,24,2.3,,,,,,,15:02,eey9,
77670,Mx 3542#4,20/06/2016,9,3,41.2,2.6,,,,,,,15:02,eey9,
77670,Mx 3542#4,20/06/2016,9,4,45.5,2,,,,,,,15:02,eey9,
77670,Mx 3542#4,20/06/2016,9,5,44.9,2.2,,,,,,,15:02,eey9,
77670,Mx 3542#4,20/06/2016,9,6,33.2,1.8,,,,,,,15:02,eey9,
77670,Mx 3542#4,20/06/2016,9,7,15.3,0.8,,,,,,,15:03,eey9,
77670,Mx 3542#4,20/06/2016,10,0,,,72,18,21,22,7,0,15:03,eey9,
77670,Mx 3542#4,20/06/2016,10,1,27.3,1.9,,,,,,,15:04,eey9,
77670,Mx 3542#4,20/06/2016,10,2,27,1.7,,,,,,,15:04,eey9,
77670,Mx 3542#4,20/06/2016,10,3,47,1.9,,,,,,,15:04,eey9,
77670,Mx 3542#4,20/06/2016,10,4,52.5,1.7,,,,,,,15:04,eey9,
77670,Mx 3542#4,20/06/2016,10,5,45,1.9,,,,,,,15:05,eey9,
77670,Mx 3542#4,20/06/2016,10,6,29.5,1.4,,,,,,,15:05,eey9,
77670,Mx 3542#4,20/06/2016,10,7,8,0.3,,,,,,,15:05,eey9,
77692,Mx 3542#26,20/06/2016,27,0,,,60,11,14,16,8,0,15:06,eey9,
77692,Mx 3542#26,20/06/2016,27,1,7,1.3,,,,,,,15:07,eey9,
77692,Mx 3542#26,20/06/2016,27,2,18.5,1.9,,,,,,,15:07,eey9,
77692,Mx 3542#26,20/06/2016,27,3,38,2.4,,,,,,,15:07,eey9,
77692,Mx 3542#26,20/06/2016,27,4,42,1.4,,,,,,,15:07,eey9,
77692,Mx 3542#26,20/06/2016,27,5,42,1.8,,,,,,,15:07,eey9,
77692,Mx 3542#26,20/06/2016,27,6,25,1.3,,,,,,,15:08,eey9,
77692,Mx 3542#26,20/06/2016,28,0,,,58,28,21,23,7,0,15:08,eey9,
77692,Mx 3542#26,20/06/2016,28,1,7.2,1.1,,,,,,,15:09,eey9,
77692,Mx 3542#26,20/06/2016,28,2,23,1.6,,,,,,,15:09,eey9,
77692,Mx 3542#26,20/06/2016,28,3,33.5,1.4,,,,,,,15:09,eey9,
77692,Mx 3542#26,20/06/2016,28,4,39,1.5,,,,,,,15:10,eey9,
77692,Mx 3542#26,20/06/2016,28,5,35.5,1.6,,,,,,,15:10,eey9,
77692,Mx 3542#26,20/06/2016,28,6,25,0.7,,,,,,,15:10,eey9,
77692,Mx 3542#26,20/06/2016,28,7,14,0.6,,,,,,,15:10,eey9,
77692,Mx 3542#26,20/06/2016,29,0,,,89,28,19,15,9,0,15:10,eey9,
77692,Mx 3542#26,20/06/2016,29,1,6.2,1.9,,,,,,,15:12,eey9,
77692,Mx 3542#26,20/06/2016,29,2,21,2.4,,,,,,,15:12,eey9,
77692,Mx 3542#26,20/06/2016,29,3,38,2.6,,,,,,,15:12,eey9,
77692,Mx 3542#26,20/06/2016,29,4,60.8,2.4,,,,,,,15:12,eey9,
77692,Mx 3542#26,20/06/2016,29,5,63.5,2.2,,,,,,,15:13,eey9,
77692,Mx 3542#26,20/06/2016,29,6,56,2.2,,,,,,,15:13,eey9,
77692,Mx 3542#26,20/06/2016,29,7,47.5,2,,,,,,,15:13,eey9,
77692,Mx 3542#26,20/06/2016,29,8,27.5,1.3,,,,,,,15:13,eey9,
77692,Mx 3542#26,20/06/2016,30,0,,,81,22,24,23,9,0,15:14,eey9,
77692,Mx 3542#26,20/06/2016,30,1,6.5,1.4,,,,,,,15:15,eey9,
77692,Mx 3542#26,20/06/2016,30,2,42.2,1.8,,,,,,,15:15,eey9,
77692,Mx 3542#26,20/06/2016,30,3,61.2,2.3,,,,,,,15:15,eey9,
77692,Mx 3542#26,20/06/2016,30,4,74.4,2,,,,,,,15:15,eey9,
77692,Mx 3542#26,20/06/2016,30,5,73,2.6,,,,,,,15:15,eey9,
77692,Mx 3542#26,20/06/2016,30,6,71.5,2.8,,,,,,,15:16,eey9,
77692,Mx 3542#26,20/06/2016,30,7,52,2.3,,,,,,,15:16,eey9,
77692,Mx 3542#26,20/06/2016,30,8,22,0.5,,,,,,,15:16,eey9,
77692,Mx 3542#26,20/06/2016,31,0,,,48,16,24,20,8,0,15:16,eey9,
77692,Mx 3542#26,20/06/2016,31,1,8.2,1.2,,,,,,,15:17,eey9,
77692,Mx 3542#26,20/06/2016,31,2,16.2,1.7,,,,,,,15:17,eey9,
77692,Mx 3542#26,20/06/2016,31,3,23,1.5,,,,,,,15:17,eey9,
77692,Mx 3542#26,20/06/2016,31,4,15,1.9,,,,,,,15:17,eey9,
77692,Mx 3542#26,20/06/2016,31,5,26.5,1.8,,,,,,,15:17,eey9,
77692,Mx 3542#26,20/06/2016,31,6,33.6,2,,,,,,,15:18,eey9,
77692,Mx 3542#26,20/06/2016,31,7,32,2,,,,,,,15:18,eey9,
77692,Mx 3542#26,20/06/2016,31,8,16,1.3,,,,,,,15:18,eey9,
77692,Mx 3542#26,20/06/2016,31,9,4.7,0.1,,,,,,,15:18,eey9,
77697,Mx 3437#3,20/06/2016,33,0,,,62,14,15,20,7,0,15:26,eey9,
77697,Mx 3437#3,20/06/2016,33,1,5.4,0.3,,,,,,,15:27,eey9,
77697,Mx 3437#3,20/06/2016,33,2,28.7,0.9,,,,,,,15:27,eey9,
77697,Mx 3437#3,20/06/2016,33,3,52.8,1.5,,,,,,,15:27,eey9,
77697,Mx 3437#3,20/06/2016,33,4,56.2,1.4,,,,,,,15:27,eey9,
77697,Mx 3437#3,20/06/2016,33,5,38.6,0.8,,,,,,,15:28,eey9,
77697,Mx 3437#3,20/06/2016,33,6,13.6,0.2,,,,,,,15:28,eey9,
77697,Mx 3437#3,20/06/2016,34,0,,,49,15,21,23,5,0,15:28,eey9,
77697,Mx 3437#3,20/06/2016,34,1,2.5,0.3,,,,,,,15:29,eey9,
77697,Mx 3437#3,20/06/2016,34,2,16,0.6,,,,,,,15:29,eey9,
77697,Mx 3437#3,20/06/2016,34,3,33.5,0.7,,,,,,,15:30,eey9,
77697,Mx 3437#3,20/06/2016,34,4,29,0.7,,,,,,,15:30,eey9,
77697,Mx 3437#3,20/06/2016,34,5,5.7,0.1,,,,,,,15:30,eey9,
77697,Mx 3437#3,20/06/2016,35,0,,,60,16,16,18,6,0,15:30,eey9,
77697,Mx 3437#3,20/06/2016,35,1,3.5,0.6,,,,,,,15:31,eey9,
77697,Mx 3437#3,20/06/2016,35,2,21,1.2,,,,,,,15:31,eey9,
77697,Mx 3437#3,20/06/2016,35,3,45,1.6,,,,,,,15:31,eey9,
77697,Mx 3437#3,20/06/2016,35,4,59,1.7,,,,,,,15:31,eey9,
77697,Mx 3437#3,20/06/2016,35,5,53.5,1.6,,,,,,,15:32,eey9,
77697,Mx 3437#3,20/06/2016,35,6,32,1.2,,,,,,,15:32,eey9,
77697,Mx 3437#3,20/06/2016,36,0,,,85,26,21,26,9,0,15:32,eey9,
77697,Mx 3437#3,20/06/2016,36,1,5.6,1.7,,,,,,,15:33,eey9,
77697,Mx 3437#3,20/06/2016,36,2,22,2.3,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,3,39,2.8,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,4,35,2.4,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,5,71.4,2.5,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,6,67.2,2.3,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,7,45.1,1.7,,,,,,,15:34,eey9,
77697,Mx 3437#3,20/06/2016,36,8,23,0.7,,,,,,,15:35,eey9,
77697,Mx 3437#3,20/06/2016,37,0,,,64,15,15,12,5,0,15:35,eey9,
77697,Mx 3437#3,20/06/2016,37,1,19.5,0.7,,,,,,,15:35,eey9,
77697,Mx 3437#3,20/06/2016,37,2,41,1.2,,,,,,,15:36,eey9,
77697,Mx 3437#3,20/06/2016,37,3,53.5,1.6,,,,,,,15:36,eey9,
77697,Mx 3437#3,20/06/2016,37,4,43,1.6,,,,,,,15:36,eey9,
77697,Mx 3437#3,20/06/2016,37,5,25.5,1.2,,,,,,,15:36,eey9,
77722,Mx 3437#132,20/06/2016,1,0,,,40,10,13,22,6,0,15:38,eey9,
77722,Mx 3437#132,20/06/2016,1,1,20,0.7,,,,,,,15:39,eey9,
77722,Mx 3437#132,20/06/2016,1,2,35.6,0.4,,,,,,,15:39,eey9,
77722,Mx 3437#132,20/06/2016,1,3,47,1.3,,,,,,,15:39,eey9,
77722,Mx 3437#132,20/06/2016,1,4,42,1.4,,,,,,,15:40,eey9,
77722,Mx 3437#132,20/06/2016,1,5,45,1.7,,,,,,,15:40,eey9,
77722,Mx 3437#132,20/06/2016,1,6,32.5,1.2,,,,,,,15:40,eey9,
77722,Mx 3437#132,20/06/2016,1,7,9,0.2,,,,,,,15:40,eey9,
77722,Mx 3437#132,20/06/2016,2,0,,,49,19,17,20,5,0,15:40,eey9,
77722,Mx 3437#132,20/06/2016,2,1,5.5,0.5,,,,,,,15:41,eey9,
77722,Mx 3437#132,20/06/2016,2,2,24.5,1,,,,,,,15:41,eey9,
77722,Mx 3437#132,20/06/2016,2,3,44,1.5,,,,,,,15:41,eey9,
77722,Mx 3437#132,20/06/2016,2,4,49,1.6,,,,,,,15:42,eey9,
77722,Mx 3437#132,20/06/2016,2,5,32,0.9,,,,,,,15:42,eey9,
77722,Mx 3437#132,20/06/2016,2,6,9.2,0.2,,,,,,,15:42,eey9,
77722,Mx 3437#132,20/06/2016,3,0,,,62,19,19,20,9,0,15:42,eey9,
77722,Mx 3437#132,20/06/2016,3,1,2,0.6,,,,,,,15:43,eey9,
77722,Mx 3437#132,20/06/2016,3,2,25.2,1.6,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,3,3,41.2,1.8,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,3,4,51,1.7,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,3,5,47,1.6,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,3,6,40.1,1.3,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,3,7,16.7,0.6,,,,,,,15:44,eey9,
77722,Mx 3437#132,20/06/2016,4,0,,,31,15,27,26,6,0,15:45,eey9,
77722,Mx 3437#132,20/06/2016,4,1,18,0.6,,,,,,,15:45,eey9,
77722,Mx 3437#132,20/06/2016,4,2,29,1.2,,,,,,,15:46,eey9,
77722,Mx 3437#132,20/06/2016,4,3,25,1.4,,,,,,,15:46,eey9,
77722,Mx 3437#132,20/06/2016,4,4,38,1.4,,,,,,,15:46,eey9,
77722,Mx 3437#132,20/06/2016,4,5,28,1.2,,,,,,,15:46,eey9,
77722,Mx 3437#132,20/06/2016,4,6,19,0.3,,,,,,,15:46,eey9,
77722,Mx 3437#132,20/06/2016,4,7,18.2,0.5,,,,,,,15:47,eey9,
77722,Mx 3437#132,20/06/2016,5,0,,,54,19,22,22,6,0,15:47,eey9,
77722,Mx 3437#132,20/06/2016,5,1,3,0.6,,,,,,,15:48,eey9,
77722,Mx 3437#132,20/06/2016,5,2,17,1.8,,,,,,,15:48,eey9,
77722,Mx 3437#132,20/06/2016,5,3,36.5,1.6,,,,,,,15:48,eey9,
77722,Mx 3437#132,20/06/2016,5,4,48,1.7,,,,,,,15:48,eey9,
77722,Mx 3437#132,20/06/2016,5,5,37,1.7,,,,,,,15:48,eey9,
77722,Mx 3437#132,20/06/2016,5,6,20.5,0.9,,,,,,,15:49,eey9,
77726,Mx 3539#6,20/06/2016,31,0,,,104,47,38,43,7,0,15:50,eey9,
77726,Mx 3539#6,20/06/2016,31,1,4,0.5,,,,,,,15:51,eey9,
77726,Mx 3539#6,20/06/2016,31,2,31.5,1.4,,,,,,,15:51,eey9,
77726,Mx 3539#6,20/06/2016,31,3,54,1.8,,,,,,,15:52,eey9,
77726,Mx 3539#6,20/06/2016,31,4,69,1.9,,,,,,,15:52,eey9,
77726,Mx 3539#6,20/06/2016,31,5,66.3,1.9,,,,,,,15:52,eey9,
77726,Mx 3539#6,20/06/2016,31,6,41.4,1.6,,,,,,,15:52,eey9,
77726,Mx 3539#6,20/06/2016,31,7,15.6,0.2,,,,,,,15:52,eey9,
77726,Mx 3539#6,20/06/2016,32,0,,,98,33,26,25,8,0,15:52,eey9,
77726,Mx 3539#6,20/06/2016,32,1,9.5,1.5,,,,,,,15:53,eey9,
77726,Mx 3539#6,20/06/2016,32,2,27,1.7,,,,,,,15:54,eey9,
77726,Mx 3539#6,20/06/2016,32,3,45.5,1.9,,,,,,,15:54,eey9,
77726,Mx 3539#6,20/06/2016,32,4,67.2,1.7,,,,,,,15:54,eey9,
77726,Mx 3539#6,20/06/2016,32,5,75.2,2.1,,,,,,,15:54,eey9,
77726,Mx 3539#6,20/06/2016,32,6,73.3,2.3,,,,,,,15:54,eey9,
77726,Mx 3539#6,20/06/2016,32,7,55,2.1,,,,,,,15:55,eey9,
77726,Mx 3539#6,20/06/2016,32,8,20.7,0.6,,,,,,,15:55,eey9,
77726,Mx 3539#6,20/06/2016,33,0,,,102,21,26,24,8,0,15:55,eey9,
77726,Mx 3539#6,20/06/2016,33,1,3,0.6,,,,,,,15:56,eey9,
77726,Mx 3539#6,20/06/2016,33,2,17,1.2,,,,,,,15:57,eey9,
77726,Mx 3539#6,20/06/2016,33,3,39,1.8,,,,,,,15:57,eey9,
77726,Mx 3539#6,20/06/2016,33,4,53.3,2.1,,,,,,,15:57,eey9,
77726,Mx 3539#6,20/06/2016,33,5,60,2.1,,,,,,,15:57,eey9,
77726,Mx 3539#6,20/06/2016,33,6,47,1.9,,,,,,,15:57,eey9,
77726,Mx 3539#6,20/06/2016,33,7,30.3,0.8,,,,,,,15:58,eey9,
77726,Mx 3539#6,20/06/2016,34,0,,,103,18,22,21,9,0,15:58,eey9,
77726,Mx 3539#6,20/06/2016,34,1,11,1.3,,,,,,,15:59,eey9,
77726,Mx 3539#6,20/06/2016,34,2,31,1.8,,,,,,,15:59,eey9,
77726,Mx 3539#6,20/06/2016,34,3,50.5,2,,,,,,,16:00,eey9,
77726,Mx 3539#6,20/06/2016,34,4,76,2.2,,,,,,,16:00,eey9,
77726,Mx 3539#6,20/06/2016,34,5,83,2.4,,,,,,,16:00,eey9,
77726,Mx 3539#6,20/06/2016,34,6,72.5,2.5,,,,,,,16:00,eey9,
77726,Mx 3539#6,20/06/2016,34,7,56,2.2,,,,,,,16:00,eey9,
77726,Mx 3539#6,20/06/2016,34,8,27.6,0.7,,,,,,,16:01,eey9,
77726,Mx 3539#6,20/06/2016,35,0,,,92,32,24,22,9,0,16:01,eey9,
77726,Mx 3539#6,20/06/2016,35,1,4,0.8,,,,,,,16:02,eey9,
77726,Mx 3539#6,20/06/2016,35,2,20,1.5,,,,,,,16:02,eey9,
77726,Mx 3539#6,20/06/2016,35,3,34,1.7,,,,,,,16:02,eey9,
77726,Mx 3539#6,20/06/2016,35,4,46,1.8,,,,,,,16:03,eey9,
77726,Mx 3539#6,20/06/2016,35,5,60.5,2,,,,,,,16:03,eey9,
77726,Mx 3539#6,20/06/2016,35,6,69,1.8,,,,,,,16:03,eey9,
77726,Mx 3539#6,20/06/2016,35,7,65,2.1,,,,,,,16:03,eey9,
77726,Mx 3539#6,20/06/2016,35,8,50,1.5,,,,,,,16:03,eey9,
77742,Mx 3539#22,20/06/2016,7,0,,,98,23,26,25,9,0,16:05,eey9,
77742,Mx 3539#22,20/06/2016,7,1,5,0.6,,,,,,,16:06,eey9,
77742,Mx 3539#22,20/06/2016,7,2,20,1.6,,,,,,,16:06,eey9,
77742,Mx 3539#22,20/06/2016,7,3,42,1.9,,,,,,,16:06,eey9,
77742,Mx 3539#22,20/06/2016,7,4,68.5,2,,,,,,,16:07,eey9,
77742,Mx 3539#22,20/06/2016,7,5,82.5,2.2,,,,,,,16:07,eey9,
77742,Mx 3539#22,20/06/2016,7,6,79.5,2.3,,,,,,,16:07,eey9,
77742,Mx 3539#22,20/06/2016,7,7,55,2,,,,,,,16:07,eey9,
77742,Mx 3539#22,20/06/2016,7,8,21.2,0.9,,,,,,,16:07,eey9,
77742,Mx 3539#22,20/06/2016,8,0,,,75,14,20,16,6,0,16:08,eey9,
77742,Mx 3539#22,20/06/2016,8,1,22.5,1.4,,,,,,,16:08,eey9,
